wazn_plain,voweled_variants,rows,tokens,examples
فتفعلو,فَتَفَعَّلُو | فَتَفْعَلُو | فَتُفْعِلُو,5,9,ربص+فَتَرَبَّصُوا | صبح+فَتُصْبِحُوا | فشل+فَتَفْشَلُوا | قطع+فَتَقَطَّعُوا | متع+فَتَمَتَّعُوا
افاعل,أَفَاعِل | أُفَاعِل | افَّاعَل | الأَفَاعِل,7,8,خلف+أُخَالِفَكُم | درك+ادَّارَكَ | رذل+أَرَاذِلُنَا | رغب+أَرَاغِبٌ | صبع+أَصَابِعَهُم
افطعل,أَفْطَعْل | افْطُعْل | وَافْطَعِل,3,8,صبر+وَاصْطَبِر | ضرر+أَضْطَرُّهُ | ضرر+اضْطُرَّ
فعلتن,فَعَلْتَن | فَعَّلْتَن | وَفَعَّلْتَن,6,7,ءخر+أَخَّرْتَنِ | ءخر+أَخَّرْتَنِي | ءمر+أَمَرْتَنِي | حشر+حَشَرْتَنِي | خلق+خَلَقْتَنِي
ففاعلو,فَفَأَعِلُو | فَفَاعِلُو,3,6,ءمن+أَفَأَمِنُوا | عقب+فَعَاقِبُوا | قتل+فَقَاتِلُوا
انفعل,أَنَفْعُل | أَنُفْعِل | انفَعَل | وَانفَعَل | وَانفَعْل,7,7,بعث+انبَعَثَ | سجد+أَنَسْجُدُ | سلخ+انسَلَخَ | شقق+وَانشَقَّ | طعم+أَنُطْعِمُ
يفعلف,يُفَعْلَف | يُفَعْلِف,3,7,خفف+يُخَفَّفُ | خفف+يُخَفِّف | خفف+يُخَفِّفَ
يتفعلو,لِيَتَفَعَّلُو | وَلِيَتَفَعَّلُو | وَيَتَفَعَّلُو | يَتَفَعَّلُو,5,6,خلف+يَتَخَلَّفُوا | طهر+يَتَطَهَّرُوا | فقه+لِيَتَفَقَّهُوا | فكر+يَتَفَكَّرُوا | متع+وَيَتَمَتَّعُوا
انفعلو,انفَعَلُو | انفَعِلُو | انفَعْلُو | لاَنفَعْلُو,4,7,طلق+انطَلِقُوا | فضض+انفَضُّوا | فضض+لاَنفَضُّوا | قلب+انقَلَبُوا
افتعلتم,افْتَعَلْتُم | لاَفْتَعَلْتُم,4,6,ءخذ+اتَّخَذْتُم | ءخذ+اتَّخَذْتُمُ | خلف+اخْتَلَفْتُم | خلف+لاَخْتَلَفْتُم
فنفعل,فَنَفَعْل | فَنَفُعْل | فَنَفَّعِل | فَنَفْعَل,5,6,تبع+فَنَتَّبِعَ | جعل+فَنَجْعَل | ردد+فَنَرُدَّهَا | ظلل+فَنَظَلُّ | عمل+فَنَعْمَلَ
فسيفعل,فَسَيَفْعَل | فَسَيَفْعُل | فَسَيُفعِل | فَسَيُفْعِل,5,6,حشر+فَسَيَحْشُرُهُم | دخل+فَسَيُدْخِلُهُم | علم+فَسَيَعْلَمُونَ | نغض+فَسَيُنْغِضُونَ | نفق+فَسَيُنفِقُونَهَا
فاستفعل,فَاسْتَفَعْل | فَاسْتَفْعَل | فَاسْتَفْعِل,6,6,خفف+فَاسْتَخَفَّ | عصم+فَاسْتَعْصَمَ | غفر+فَاسْتَغْفَرَ | غفر+فَاسْتَغْفِر | غلظ+فَاسْتَغْلَظَ
فافعلت,فَأَفعَلْت | فَأَفْعَلَت | فَأَفْعَلْت,6,6,خلف+فَأَخْلَفْتُكُم | صبح+فَأَصْبَحَت | قبل+فَأَقْبَلَتِ | كثر+فَأَكْثَرْتَ | نذر+فَأَنذَرْتُكُم
تفعلل,تَفْعَلِل | وَتَفْعَلِل | وَلِتَفْعَلِل,5,6,طمءن+تَطْمَئِنُّ | طمءن+وَتَطْمَئِنَّ | طمءن+وَتَطْمَئِنُّ | طمءن+وَلِتَطْمَئِنَّ | قشعر+تَقْشَعِرُّ
استفعلتم,اسْتَفْعَلْتُم | وَاسْتَفْعَلْتُم,6,6,عجل+اسْتَعْجَلْتُم | كبر+اسْتَكْبَرْتُم | كبر+وَاسْتَكْبَرْتُم | كثر+اسْتَكْثَرْتُم | متع+اسْتَمْتَعْتُم
استفعلت,أَسْتَفْعَلْت | اسْتَفْعَلْت | لاَسْتَفْعَلْت | وَاسْتَفْعَلْت,5,5,ءجر+اسْتَئْجَرْتَ | غفر+أَسْتَغْفَرْتَ | كبر+أَسْتَكْبَرْتَ | كبر+وَاسْتَكْبَرْتَ | كثر+لاَسْتَكْثَرْتُ
يستفعلو,وَيَسْتَفْعِلُو | يَسْتَفعِلُو | يَسْتَفْعِلُو,5,5,ءذن+يَسْتَئْذِنُوهُ | عتب+يَسْتَعْتِبُوا | غفر+وَيَسْتَغْفِرُوا | غفر+يَسْتَغْفِرُوا | نقذ+يَسْتَنقِذُوهُ
تستفعلو,تَسْتَفْعِلُو,5,5,ءنس+تَسْتَأْنِسُوا | رضع+تَسْتَرْضِعُوا | عجل+تَسْتَعْجِلُوهُ | فتح+تَسْتَفْتِحُوا | قسم+تَسْتَقْسِمُوا
استفعال,اسْتِفْعَال,4,5,بدل+اسْتِبْدَالَ | عجل+اسْتِعْجَالَهُم | غفر+اسْتِغْفَارُ | كبر+اسْتِكْبَارًا
فستفعل,فَسَتَفْعَل | فَسَتُفْعِل,3,5,بصر+فَسَتُبْصِرُ | رضع+فَسَتُرْضِعُ | علم+فَسَتَعْلَمُونَ
فافعال,فَأَفْعَال | فَإِفْعَال | فَافِّعَال | فَافْعَال,5,5,تبع+فَاتِّبَاعٌ | صحب+فَأَصْحَابُ | طعم+فَإِطْعَامُ | مسك+فَإِمْسَاكٌ | نهر+فَانْهَارَ
نتفعل,نَتَفَعَّل | نُتَفَعَّل,4,5,خطف+نُتَخَطَّفُ | ربص+نَتَرَبَّصُ | قبل+نَتَقَبَّلُ | كلم+نَتَكَلَّمَ
فانفعل,فَانفَعَل,3,5,سلخ+فَانسَلَخَ | طلق+فَانطَلَقَا | فلق+فَانفَلَقَ
انفعلت,انفَعَلَت | انفَعْلَت | وَانفَعْلَت,5,5,شقق+انشَقَّت | شقق+انشَقَّتِ | شقق+وَانشَقَّتِ | فطر+انفَطَرَت | كدر+انكَدَرَت
افعيال,أَفعِيَال | الأَفعِيَال,2,5,نبء+أَنبِيَاءَ | نبء+الأَنبِيَاءَ
تفاعلن,تُفَاعِلْن,3,4,ءخذ+تُؤَاخِذْنِي | خطب+تُخَاطِبْنِي | صحب+تُصَاحِبْنِي
يتفعلن,يَتَفَعَّلْن,2,4,ربص+يَتَرَبَّصْنَ | فطر+يَتَفَطَّرْنَ
سافعل,سَأَفْعِل | سَأُفعِل | سَأُفَعِّل | سَأُفْعِل,4,4,رهق+سَأُرْهِقُهُ | صرف+سَأَصْرِفُ | نبء+سَأُنَبِّئُكَ | نزل+سَأُنزِلُ
نفاعل,نُفَاعِل,4,4,سرع+نُسَارِعُ | غدر+نُغَادِر | قتل+نُقَاتِل | قتل+نُقَاتِلَ
تفاعلتم,تَفَاعَلْتُم | وَتَفَاعَلْتُم | وَلَتَفَاعَلْتُم,4,4,عسر+تَعَاسَرْتُم | نزع+تَنَازَعْتُم | نزع+وَتَنَازَعْتُم | نزع+وَلَتَنَازَعْتُم
فافتعلت,فَافتَعَلَت | فَافْتَعَلَت,3,3,ءخذ+فَاتَّخَذَت | حرق+فَاحْتَرَقَت | نبذ+فَانتَبَذَت
افتعلن,افْتَعَلْن | لأَفْتَعِلَن | لاَّفْتَعَلْن,3,3,ءخذ+لاَّتَّخَذْنَاهُ | حنك+لأَحْتَنِكَنَّ | كسب+اكْتَسَبْنَ
تتفعلو,تَتَفَعَّلُو,3,3,بدل+تَتَبَدَّلُوا | فرق+تَتَفَرَّقُوا | فكر+تَتَفَكَّرُوا
فتفاعل,فَتَفَاعَل,2,3,برك+فَتَبَارَكَ | شبه+فَتَشَابَهَ
فعللت,فُعْلِلَت | وَفُعْلِلَت,3,3,بعثر+بُعْثِرَت | ذلل+وَذُلِّلَت | زلزل+زُلْزِلَتِ
نفتعل,نَفْتَعِل,3,3,بهل+نَبْتَهِل | سبق+نَسْتَبِقُ | قبس+نَقْتَبِس
فتفعيل,فَتَفْعِيل,1,3,حرر+فَتَحْرِيرُ
اففعل,أَفَفَعِل | أَفَفُعْل | أَفَفِعْل,3,3,حسب+أَفَحَسِبَ | حكم+أَفَحُكْمَ | سحر+أَفَسِحْرٌ
يستفعلن,لَيَسْتَفْعِلَن | يَسْتَفِعْلَن | يَسْتَفْعِلْن,3,3,خفف+يَسْتَخِفَّنَّكَ | خلف+لَيَسْتَخْلِفَنَّهُم | عفف+يَسْتَعْفِفْنَ
فافعلتم,فَأَفْعَلْتُم,2,3,خلف+فَأَخْلَفْتُم | صبح+فَأَصْبَحْتُم
ستفعل,سَتُفْعَل | وَسَتُفَعْل,3,3,ردد+وَسَتُرَدُّونَ | غلب+سَتُغْلَبُونَ | كتب+سَتُكْتَبُ
انفعلتم,انفَعَلْتُم,2,3,طلق+انطَلَقْتُم | قلب+انقَلَبْتُم
افتفعل,أَفَتَفْعَل | أَفَتَفْعُل | أَفَتُفْعِل,3,3,طمع+أَفَتَطْمَعُونَ | عبد+أَفَتَعْبُدُونَ | هلك+أَفَتُهْلِكُنَا
تفعلت,تَفَعَّلَت | وَتَفَعَّلَت,3,3,عمد+تَعَمَّدَت | قطع+وَتَقَطَّعَت | نزل+تَنَزَّلَت
ففاعلتم,فَفَأَعِلتُم | فَفَاعَلْتُم,2,2,ءمن+أَفَأَمِنتُم | عقب+فَعَاقَبْتُم
فليفعلن,فَلَيَفْعَلَن | فَلَيُفَعِّلُن,2,2,بتك+فَلَيُبَتِّكُنَّ | علم+فَلَيَعْلَمَنَّ
فانفعلت,فَانفَعَلَت,2,2,بجس+فَانبَجَسَت | فجر+فَانفَجَرَت
اففالباعل,أَفَفِالْبَاعِل,1,2,بطل+أَفَبِالْبَاطِلِ
انفعال,انفِعَال,2,2,بعث+انبِعَاثَهُم | فصم+انفِصَامَ
افعلتمو,أَفعَلْتُمُو | أَفْعَلتُمُو,2,2,ثخن+أَثْخَنتُمُوهُم | نزل+أَنزَلْتُمُوهُ
افنفعل,أَفَنَفْعَل | أَفَنَفْعِل,2,2,جعل+أَفَنَجْعَلُ | ضرب+أَفَنَضْرِبُ
افعلاء,أَفِعْلَاء | وَأَفِعْلَاؤ,2,2,حبب+وَأَحِبَّاؤُهُ | شدد+أَشِدَّاءُ
اتفاعل,أَتُفَاعْل,2,2,حجج+أَتُحَاجُّونَنَا | حجج+أَتُحَاجُّونِّي
يتفاعلو,لِيَتَفَاعَلُو | يَتَفَاعَلُو,2,2,حكم+يَتَحَاكَمُوا | سءل+لِيَتَسَاءَلُوا
يفعول,يَفعُول | يَفْعُول,2,2,حمم+يَحْمُومٍ | نبع+يَنبُوعًا
بفعلت,وَبِفَعْلَت | وَبِفِعْلَت,2,2,رحم+وَبِرَحْمَتِهِ | نعم+وَبِنِعْمَتِ
فعللو,وَفُعْلِلُو,1,2,زلزل+وَزُلْزِلُوا
فلنفعلن,فَلَنَفُعْلَن | فَلَنَفْعَلَن,2,2,سءل+فَلَنَسْئَلَنَّ | قصص+فَلَنَقُصَّنَّ
تفعلق,تَفَعْلَق,1,2,شقق+تَشَقَّقُ
فليفعلو,فَلْيَفْعَلُو,2,2,ضحك+فَلْيَضْحَكُوا | فرح+فَلْيَفْرَحُوا
فيفاعل,فَيُفَاعِل,1,2,ضعف+فَيُضَاعِفَهُ
فانفعلو,فَانفَعَلُو,2,2,طلق+فَانطَلَقُوا | قلب+فَانقَلَبُوا
ينفعل,يَنفَعِل | يَنفَعْل,2,2,طلق+يَنطَلِقُ | قضض+يَنقَضَّ
يفعلل,لِيَفْعَلِل | وَيُفَعْلِل,2,2,طمءن+لِيَطْمَئِنَّ | قلل+وَيُقَلِّلُكُم
افبفعال,أَفَبِفَعَال,1,2,عذب+أَفَبِعَذَابِنَا
فيفتعل,فَيَفتَعِل | فَيَفْتَعِل,2,2,عذر+فَيَعْتَذِرُونَ | نقم+فَيَنتَقِمُ
افتعلتمو,افْتَعَلْتُمُو,2,2,عزل+اعْتَزَلْتُمُوهُم | قرف+اقْتَرَفْتُمُوهَا
يفتعلو,وَلِيَفْتَعِلُو | يَفْتَعِلُو,2,2,عزل+يَعْتَزِلُوكُم | قرف+وَلِيَقْتَرِفُوا
افعتل,افْعَتَل,2,2,قتل+اقْتَتَلَ | كتب+اكْتَتَبَهَا
افعتلو,افْعَتَلُو,1,2,قتل+اقْتَتَلُوا
فتنفعلو,فَتَنفَعِلُو,1,2,قلب+فَتَنقَلِبُوا
فاستفعلتم,فَاسْتَفْعَلْتُم,2,2,كبر+فَاسْتَكْبَرْتُم | متع+فَاسْتَمْتَعْتُم
فتفاعلو,فَتَفَاعَلُو | فَتُفَاعِلُو,2,2,نزع+فَتَنَازَعُوا | هجر+فَتُهَاجِرُوا
فلافعل,فَلأَفعُل,2,2,نفس+فَلأَنفُسِكُم | نفس+فَلأَنفُسِهِم
فافتعلتمو,فَافْتَعَلْتُمُو,1,1,ءخذ+فَاتَّخَذْتُمُوهُم
فنتفعل,فَنَتَفَعَّل,1,1,برء+فَنَتَبَرَّأَ
افعلتن,افَّعَلْتَن,1,1,تبع+اتَّبَعْتَنِي
افاعلتم,افَّاعَلْتُم,1,1,ثقل+اثَّاقَلْتُم
اتفاعلونن,أَتُفَاعِلُونَن,1,1,جدل+أَتُجَادِلُونَنِي
تفعلسو,تَفَعْلَسُو,1,1,جسس+تَجَسَّسُوا
ففعلتم,فَفَعَلْتُم,1,1,جعل+فَجَعَلْتُم
اففعلتم,أَفَفَعِلْتُم,1,1,حسب+أَفَحَسِبْتُم
ففاعلن,فَفَاعَلْن,1,1,حسب+فَحَاسَبْنَاهَا
فتفعلسو,فَتَفَعْلَسُو,1,1,حسس+فَتَحَسَّسُوا
افعول,الأُفْعُول,1,1,خدد+الأُخْدُودِ
فافاعلتم,فَافَّاعَلْتُم,1,1,درء+فَادَّارَءْتُم
افاعلو,افَّاعَلُو,1,1,درك+ادَّارَكُوا
فعللن,وَفَعْلَلْن,1,1,ذلل+وَذَلَّلْنَاهَا
تفعلتم,وَتَفَعَّلْتُم,1,1,ربص+وَتَرَبَّصْتُم
يتفعلد,يَتَفَعْلَد,1,1,ردد+يَتَرَدَّدُونَ
افدعل,وَافْدُعِل,1,1,زجر+وَازْدُجِرَ
تفعتل,تَفْعَتِل,1,1,ستر+تَسْتَتِرُونَ
يفتسعل,يَفْتَسْعِل,1,1,سخر+يَسْتَسْخِرُونَ
يتفعلل,يَتَفَعْلَل,1,1,سلل+يَتَسَلَّلُونَ
تفاعلت,تَفَاعَلَت,1,1,شبه+تَشَابَهَت
تنفعل,وَتَنفَعْل,1,1,شقق+وَتَنشَقُّ
يفعلق,يَفَّعْلَق,1,1,شقق+يَشَّقَّقُ
افعالت,افْعَأَلَّت,1,1,شمز+اشْمَأَزَّت
تفعلى,تَفَعْلَى,1,1,صدد+تَصَدَّى
يفطعل,يَفْطَعِل,1,1,صرخ+يَصْطَرِخُونَ
افطعلت,وَافْطَعَلْت,1,1,صنع+وَاصْطَنَعْتُكَ
افطعلتم,افْطُعِلْتُم,1,1,ضرر+اضْطُرِرْتُم
نفطعل,نَفْطَعْل,1,1,ضرر+نَضْطَرُّهُم
افعلل,افْعَلَل,1,1,طمءن+اطْمَأَنَّ
افعللنتم,افْعَلْلَنتُم,1,1,طمءن+اطْمَأْنَنتُم
افعللو,وَافْعَلَلُّو,1,1,طمءن+وَاطْمَأَنُّوا
فيفعلن,فَيَفْعَلْن,1,1,ظلل+فَيَظْلَلْنَ
فلفعلت,فَلَفَعَلْت,1,1,عرف+فَلَعَرَفْتَهُم
فبفعلت,فَبِفِعْلَت,1,1,عزز+فَبِعِزَّتِكَ
تفعلف,التَّفَعْلُف,1,1,عفف+التَّعَفُّفِ
فيتفعل,فَيَتَفَعَّل,1,1,علم+فَيَتَعَلَّمُونَ
استفعلن,لأَسْتَفْعِلَن,1,1,غفر+لأَسْتَغْفِرَنَّ
ينفعلو,يَنفَعْلُو,1,1,فضض+يَنفَضُّوا
فليفاعل,فَلْيُفَاعِل,1,1,قتل+فَلْيُقَاتِل
يفعتل,يَفْعَتِل,1,1,قتل+يَقْتَتِلاَنِ
فلافعلن,فَلأُفَعِّلَن,1,1,قطع+فَلأُقَطِّعَنَّ
يفعيل,يَفْعِيل,1,1,قطن+يَقْطِينٍ
فينفعلو,فَيَنفَعِلُو,1,1,قلب+فَيَنقَلِبُوا
ففعللو,فَفُعْلِلُو,1,1,كبكب+فَكُبْكِبُوا
فسافعل,فَسَأَفْعُل,1,1,كتب+فَسَأَكْتُبُهَا
ففعلتمو,فَفَعِلْتُمُو,1,1,كره+فَكَرِهْتُمُوهُ
انفعلكمو,أَنُفْعِلُكُمُو,1,1,لزم+أَنُلْزِمُكُمُوهَا
افالعال,بِافأَلْعَال,1,1,لقب+بِالأَلْقَابِ
تفاعيل,التَّفَاعِيل,1,1,مثل+التَّمَاثِيلُ
اتفعلونن,أَتُفِعْلُونَن,1,1,مدد+أَتُمِدُّونَنِ
افافعل,أَفَأُفَعِّل,1,1,نبء+أَفَأُنَبِّئُكُم
يفاعيل,يَفَاعِيل,1,1,نبع+يَنَابِيعَ
يفاعلن,يُفَاعِلُن,1,1,نزع+يُنَازِعُنَّكَ
افعلفو,افعَلَفُو,1,1,نصر+انصَرَفُوا
افبفعلة,أَفَبِفِعْلَة,1,1,نعم+أَفَبِنِعْمَةِ
فاعلن,فَاعَلْن,1,1,هجر+هَاجَرْنَ
