word,prefixes,stem,suffixes,frequency,stability,n_variants
وَحَاقَ,و,حاق,,7,1.0,1
مَالَاً,,مال,ا,7,1.0,1
مُرِيبٍ,,مريب,,7,1.0,1
سَلَامَاً,,سلام,ا,7,1.0,1
شَدِيدٍ,,شديد,(null),7,1.0,1
ثَمُودُ,,ثمود,,7,1.0,1
الْقُرُونِ,ال,قرون,,7,1.0,1
الْمُبِينِ,ال,مبين,(null),7,1.0,1
يُوسُفُ,,يوسف,,7,1.0,1
يَاأَبَتِ,يا,أب+ت+None+None,,7,1.0,1
وَتَرَكْنَا,و,ترك,نا,7,0.714,2
يَسِيرٌ,,يسير,,7,1.0,1
وَتَوَلَّى,و,تولى,,7,1.0,1
آمِنِينَ,,آمن,ين,7,1.0,1
يَسِيرُوا,ي,سير,وا,7,1.0,1
خَلْقٍ,,خلق,(null),7,1.0,1
الْكَبِيرُ,ال,كبير,,7,1.0,1
الْقَوْلَ,ال,قول,,7,1.0,1
يَتَذَكَّرُ,ي,تذكر,,7,1.0,1
وَعْدُ,,وعد,(null),7,1.0,1
الْمُرْسَلُونَ,ال,مرسل,ون,7,1.0,1
الْجِبَالِ,ال,جبال,,7,1.0,1
خَلْقَاً,,خلق,ا,7,1.0,1
مُتَّكِئِينَ,,متكئ,ين,7,1.0,1
صَفَّاً,,صف,ا,7,1.0,1
نَادَى,,نادى,,7,1.0,1
بُكْرَةً,,بكر,ة,7,1.0,1
وَأَبْقَى,و,أبقى,,7,1.0,1
يَتَسَاءَلُونَ,ي,تساءل,ون,7,0.714,3
الْفَصْلِ,ال,فصل,(null),7,1.0,1
حم,,حم,,7,1.0,1
وَاللَّيْلِ,و|ال,ليل,,7,1.0,1
الرَّحِيمِ,ال,رحيم,,6,1.0,1
الضَّالِّينَ,ال,ضال,ين,6,1.0,1
الم,,الم,,6,1.0,1
بِمُؤْمِنِينَ,ب,مؤمن,ين,6,1.0,1
اشْتَرَوْا,,اشتر,وا,6,1.0,1
ذَهَبَ,,ذهب,,6,1.0,1
مُحِيطٌ,,محيط,(null),6,1.0,1
يَكَادُ,ي,كاد,,6,1.0,1
أَنْدَادَاً,,أنداد,ا,6,1.0,1
نَزَّلْنَا,,نزل,نا,6,1.0,1
اسْجُدُوا,,ا+سجد,وا,6,1.0,1
وَقُلْنَا,و,قل,نا,6,1.0,1
التَّوَّابُ,ال,تواب,,6,1.0,1
بِكُمُ,ب,كم,,6,1.0,1
الْعِجْلَ,ال,عجل,,6,1.0,1
تَهْتَدُونَ,ت,هتد,و|ن,6,1.0,1
نَرَى,ن,ري,,6,1.0,1
طَيِّبَاتِ,,طيب,ات,6,1.0,1
فَقُلْنَا,ف,قل,نا,6,1.0,1
عَيْنَاً,,عين,ا,6,1.0,1
وَاشْرَبُوا,و,ا+شرب,وا,6,1.0,1
وَاحِدٍ,,واحد,(null),6,1.0,1
فَلَهُمْ,ف|ل,هم,,6,1.0,1
أَجْرُهُمْ,,أجر,هم,6,1.0,1
بِقُوَّةٍ,ب,قو,ة,6,1.0,1
أَعُوذُ,أ,عوذ,,6,1.0,1
الْجَاهِلِينَ,ال,جاهل,ين,6,1.0,1
ادْعُ,,ا+دع,,6,1.0,1
لَمَا,,لما,,6,1.0,1
يُعْلِنُونَ,ي,علن,ون,6,0.833,2
تَقُولُونَ,ت,قول,و|ن,6,1.0,1
إِحْسَانَاً,,إحسان,ا,6,1.0,1
وَالْمَسَاكِينِ,و|ال,مساكين,(null),6,1.0,1
بَغْيَاً,,بغي,ا,6,1.0,1
بِخَيْرٍ,ب,خير,(null),6,1.0,1
الْكُفْرَ,ال,كفر,,6,1.0,1
لِأَنْفُسِكُمْ,ل,أنفس,كم,6,0.833,2
هُودَاً,,هود,ا,6,1.0,1
وَجْهَهُ,,وجه,ه,6,1.0,1
الْيَهُودُ,ال,يهود,(null),6,1.0,1
فَاللَّهُ,ف|ال,له,,6,1.0,1
السُّجُودِ,ال,سجود,,6,1.0,1
اجْعَلْ,,ا+جعل,,6,1.0,1
آمِنَاً,,آمن,ا,6,1.0,1
هَدَى,,هدي,,6,1.0,1
وَجْهَكَ,,وجه,ك,6,1.0,1
وُجُوهَكُمْ,,وجوه,كم,6,1.0,1
بِشَيْءٍ,ب,شيء,,6,1.0,1
مُصِيبَةٌ,,مصيب,ة,6,1.0,1
يُنْظَرُونَ,ي,نظر,ون,6,0.833,2
طَيِّبَاً,,طيب,ا,6,1.0,1
اتَّبِعُوا,,اتبع,وا,6,1.0,1
وَالْكِتَابِ,و|ال,كتاب,(null),6,1.0,1
الْمُتَّقُونَ,ال,متق,ون,6,1.0,1
عَنِّي,عن,ي+None,,6,1.0,1
فَإِنِّي,ف,أن,ي,6,0.833,2
حُدُودُ,,حدود,(null),6,1.0,1
التَّقْوَى,ال,تقوى,,6,1.0,1
لِمَنِ,ل,من,,6,1.0,1
رَءُوفٌ,,رءوف,,6,1.0,1
فَاعْلَمُوا,ف,ا+علم,وا,6,1.0,1
تُرْجَعُ,ت,رجع,,6,1.0,1
فَوْقَهُمْ,,فوق,هم,6,1.0,1
تَدْخُلُوا,ت,دخل,وا,6,1.0,1
يَأْتِكُمْ,ي,أت,كم,6,1.0,1
شَرٌّ,,شر,,6,1.0,1
حَبِطَتْ,,حبط,ت,6,1.0,1
وَجَاهَدُوا,و,جاهد,وا,6,0.833,2
وَيَسْأَلُونَكَ,و|ي,سأل,و|ن|ك,6,1.0,1
بِمَعْرُوفٍ,ب,معروف,,6,1.0,1
حُدُودَ,,حدود,(null),6,1.0,1
سِرَّاً,,سر,ا,6,1.0,1
مَعْرُوفَاً,,معروف,ا,6,1.0,1
قَرْضَاً,,قرض,ا,6,1.0,1
وَإِنَّكَ,و,إن,ك,6,0.833,2
الطَّيْرِ,ال,طير,,6,1.0,1
بِاللَّيْلِ,ب|ال,ليل,,6,1.0,1
بِالْعَدْلِ,ب|ال,عدل,(null),6,1.0,1
وَأَطَعْنَا,و,أطع,نا,6,0.667,3
مَتَاعُ,,متاع,,6,1.0,1
فَاغْفِرْ,ف,ا+غفر,,6,1.0,1
الْعِلْمُ,ال,علم,,6,1.0,1
وَمَنِ,و,من,,6,1.0,1
حَقٍّ,,حق,,6,1.0,1
تَجِدُ,ت,جد,,6,1.0,1
بَعِيدَاً,,بعيد,ا,6,1.0,1
تُحِبُّونَ,ت,حب,و|ن,6,1.0,1
طَيِّبَةً,,طيب,ة|(null),6,1.0,1
وَسَبِّحْ,و,سبح,,6,1.0,1
أَنْبَاءِ,,أنباء,(null),6,1.0,1
أَيُّهُمْ,,أي,هم,6,1.0,1
صِرَاطٌ,,صراط,,6,1.0,1
مُسْتَقِيمٌ,,مستقيم,,6,1.0,1
الشَّاهِدِينَ,ال,شاهد,ين,6,1.0,1
تَخْتَلِفُونَ,ت,ختلف,و|ن,6,1.0,1
تُرَابٍ,,تراب,(null),6,1.0,1
وَبِمَا,و|ب,ما,,6,1.0,1
يُرْجَعُونَ,ي,رجع,ون,6,1.0,1
الْخَيْرِ,ال,خير,(null),6,1.0,1
وُجُوهٌ,,وجوه,,6,1.0,1
وُجُوهُهُمْ,,وجوه,هم,6,1.0,1
لَكَانَ,ل,كان,,6,1.0,1
سَيِّئَةٌ,,سيئ,ة|(null),6,1.0,1
الْمُكَذِّبِينَ,ال,مكذب,ين,6,1.0,1
وَلِيَعْلَمَ,و|ل|ي,علم,,6,1.0,1
قُتِلَ,,قتل,(null),6,0.833,2
وَكَأَيِّنْ,و|ك,أي+ن,,6,1.0,1
وَمِنْكُمْ,و|من,كم,,6,0.833,2
عَفَا,,عفا,,6,1.0,1
ظَنَّ,,ظن,,6,1.0,1
فَبِمَا,,ف+ب+ما,,6,1.0,1
بِأَفْوَاهِهِمْ,ب,أفواه,هم,6,0.833,2
بِالَّذِينَ,ب,الذين,,6,1.0,1
يُسَارِعُونَ,ي,سارع,ون,6,1.0,1
أَيْدِيكُمْ,,أيد,ي|كم,6,1.0,1
جَاءُوا,,جاء,وا,6,1.0,1
لَكِنِ,,لكن,,6,1.0,1
نُزُلَاً,,نزل,ا,6,1.0,1
وَاحِدَةٍ,,واحد,ة|(null),6,1.0,1
الْأُنْثَيَيْنِ,ال,أنثي,ين,6,1.0,1
شُرَكَاءُ,,شركاء,(null),6,1.0,1
يُطِعِ,ي,طع,,6,1.0,1
قَرِيبٍ,,قريب,,6,1.0,1
أَعْتَدْنَا,,اعتد,نا,6,1.0,1
زَوْجٍ,,زوج,(null),6,1.0,1
أُجُورَهُنَّ,,أجور,هن,6,1.0,1
بَعْضَكُمْ,,بعض,كم,6,1.0,1
مِثْقَالَ,,مثقال,,6,1.0,1
ذَرَّةٍ,,ذر,ة,6,1.0,1
سَبِيلٍ,,سبيل,,6,1.0,1
السَّبِيلَ,ال,سبيل,,6,1.0,1
مَفْعُولَاً,,مفعول,ا,6,1.0,1
أَهْدَى,,أهدى,,6,1.0,1
ضَلَالَاً,,ضلال,ا,6,1.0,1
لَدُنَّا,,لدن,نا,6,1.0,1
مُسْتَقِيمَاً,,مستقيم,ا,6,1.0,1
يَخْشَوْنَ,ي,خش,ون,6,0.833,2
وَبَيْنَهُمْ,و,بين,هم,6,1.0,1
إِلَيْكُمُ,إلي,كم,,6,1.0,1
رَقَبَةٍ,,رقب,ة,6,1.0,1
أَلْقَى,,ألقى,,6,1.0,1
سُوءَاً,,سوء,ا,6,1.0,1
يَدْخُلُونَ,ي,دخل,ون,6,1.0,1
قَدِيرَاً,,قدير,ا,6,1.0,1
دِينَهُمْ,,دين,(null)|هم,6,1.0,1
رَسُولَ,,رسول,,6,1.0,1
حَرَّمْنَا,,حرم,نا,6,1.0,1
الرُّسُلِ,ال,رسل,,6,1.0,1
عَبْدَاً,,عبد,ا,6,1.0,1
الْحَرَامَ,ال,حرام,,6,1.0,1
يَبْتَغُونَ,ي,بتغ,و|ن,6,1.0,1
الْإِثْمِ,ال,إثم,,6,1.0,1
جَاءَنَا,,جاء,نا,6,1.0,1
نَذِيرٍ,,نذير,,6,1.0,1
يَخْرُجُوا,ي,خرج,وا,6,1.0,1
فَتَكُونَ,ف|ت,كون,,6,1.0,1
وَأَصْلَحَ,و,أصلح,,6,1.0,1
بِالْمُؤْمِنِينَ,ب|ال,مؤمن,ين,6,1.0,1
النَّفْسَ,ال,نفس,,6,1.0,1
آثَارِهِمْ,,آثار,هم,6,1.0,1
ابْنِ,,ابن,,6,0.667,2
تَتَّبِعْ,ت,تبع,,6,1.0,1
فَوْقِهِمْ,,فوق,هم,6,1.0,1
وَكَثِيرٌ,و,كثير,,6,1.0,1
يُؤْفَكُونَ,ي,ؤفك,و|ن,6,1.0,1
سَمِعُوا,,سمع,وا,6,1.0,1
مُؤْمِنُونَ,,مؤمن,ون,6,1.0,1
مِنْكَ,من,ك,,6,1.0,1
مَلَكٌ,,ملك,(null),6,0.833,2
الْخَبِيرُ,ال,خبير,(null),6,1.0,1
نُزِّلَ,,نزل,,6,1.0,1
أُمَمٍ,,أمم,,6,1.0,1
بَأْسُنَا,,بأس,نا,6,1.0,1
عِنْدِي,,عند,ي,6,1.0,1
الْغَيْبَ,ال,غيب,,6,1.0,1
تَسْتَعْجِلُونَ,ت,ستعجل,ون,6,0.667,2
الْحُكْمُ,ال,حكم,(null),6,1.0,1
الذِّكْرَى,ال,ذكرى,,6,1.0,1
ذِكْرَى,,ذكرى,,6,1.0,1
إِسْحَاقَ,,إسحاق,,6,1.0,1
وَلُوطَاً,و,لوط,ا,6,1.0,1
زَعَمْتُمْ,,زعم,تم,6,1.0,1
فَأَخْرَجْنَا,ف,أخرج,نا,6,1.0,1
فَذَرْهُمْ,ف,ذر,هم,6,0.667,3
يَضِلُّ,ي,ضل,,6,1.0,1
ذُكِرَ,,ذكر,,6,1.0,1
يَمْشِي,ي,مشي,,6,1.0,1
يَمْكُرُونَ,ي,مكر,ون,6,1.0,1
يَجْعَلْ,ي,جعل,,6,1.0,1
يَذَّكَّرُونَ,ي,ذكر,و|ن,6,1.0,1
غَافِلُونَ,,غافل,ون,6,1.0,1
يُرَدُّ,ي,رد,,6,1.0,1
فَلِلَّهِ,ف|ل|ال,له,,6,1.0,1
الْكَيْلَ,ال,كيل,,6,1.0,1
وَالْمِيزَانَ,و|ال,ميزان,,6,1.0,1
بَعْضُ,,بعض,(null),6,1.0,1
إِنَّنِي,,أن+ني+None+None+None,,6,1.0,1
جَعَلَكُمْ,,جعل,كم,6,1.0,1
مَوَازِينُهُ,,موازين,ه,6,1.0,1
أَجَلُهُمْ,,أجل,هم,6,1.0,1
سَاعَةً,,ساع,ة|(null),6,1.0,1
الْجَنَّةُ,ال,جن,ة,6,1.0,1
وَنَادَى,و,نادى,,6,1.0,1
رِجَالٌ,,رجال,,6,1.0,1
الْمَاءِ,ال,ماء,,6,1.0,1
تَبَارَكَ,,تبارك,,6,1.0,1
يَدَيْ,,يد,ي,6,1.0,1
فَأَنْجَيْنَاهُ,ف,أنجي+نا+ه+None,,6,0.5,2
وَحْدَهُ,,وحد,ه,6,1.0,1
ثَمُودَ,,ثمود,,6,1.0,1
الْجِبَالَ,ال,جبال,,6,1.0,1
أَهْلَهَا,,أهل,ها,6,1.0,1
وَمَلَئِهِ,و,ملئ,ه,6,1.0,1
عَلِيمٍ,,عليم,,6,1.0,1
الرَّاحِمِينَ,ال,راحم,ين,6,1.0,1
هَوَاهُ,,هوا,ه,6,1.0,1
أَضَلُّ,,أضل,,6,1.0,1
أَيَّانَ,,أيان,,6,1.0,1
ذَاتَ,,ذات,,6,1.0,1
قُوَّةٍ,,قو,ة|(null),6,1.0,1
مُدْبِرِينَ,,مدبر,ين,6,1.0,1
مَعَنَا,,مع,نا,6,1.0,1
فَاسِقِينَ,,فاسق,ين,6,1.0,1
كَفَرْتُمْ,,كفر,تم,6,1.0,1
يَغْفِرَ,ي,غفر,,6,1.0,1
السَّوْءِ,ال,سوء,,6,1.0,1
الْأَوَّلُونَ,ال,أول,ون,6,1.0,1
يَبْدَأُ,ي,بدأ,,6,1.0,1
مَسَّهُ,,مس,ه,6,1.0,1
كَلِمَةٌ,,كلم,ة,6,1.0,1
رُسُلَنَا,,رسل,نا,6,1.0,1
لِلْحَقِّ,ل|ال,حق,,6,1.0,1
يَسْتَمِعُونَ,ي,ستمع,ون,6,1.0,1
أَفَأَنْتَ,أ|ف,أنت,,6,1.0,1
قُضِيَ,,قضي,,6,1.0,1
وَأُمِرْتُ,و,أمر,ت,6,0.667,3
نُوحٌ,,نوح,,6,1.0,1
يَابُنَيَّ,يا,بن+ي+None,,6,1.0,1
الصَّيْحَةُ,ال,صيح,ة,6,1.0,1
كَيْدَاً,,كيد,ا,6,1.0,1
لِلْإِنْسَانِ,ل|ال,إنسان,,6,1.0,1
فَاعِلِينَ,,فاعل,ين,6,1.0,1
يَاأَبَانَا,يا,أبا+نا+None,,6,1.0,1
الْمَلِكُ,ال,ملك,,6,0.5,2
لَعَلِّي,,لعل,ي,6,1.0,1
عَلِمْنَا,,علم,نا,6,1.0,1
أَكْثَرُ,,أكثر,,6,1.0,1
فَيَنْظُرُوا,ف|ي,نظر,وا,6,1.0,1
جَدِيدٍ,,جديد,(null),6,1.0,1
مِثْلُكُمْ,,مثل,كم,6,1.0,1
ضَرَبَ,,ضرب,(null),6,1.0,1
رَبِّهَا,,رب,ها,6,1.0,1
الذِّكْرَ,ال,ذكر,,6,1.0,1
فَسَبِّحْ,ف,سبح,,6,1.0,1
أَتَى,,أتى,,6,1.0,1
تَفْعَلُونَ,ت,فعل,و|ن,6,1.0,1
أَجْرَهُمْ,,أجر,هم,6,1.0,1
وَبَنِينَ,و,بن,ين,6,1.0,1
بِعِبَادِهِ,ب,عباد,ه,6,1.0,1
يُسَبِّحُ,ي,سبح,,6,1.0,1
الْحَدِيثِ,ال,حديث,(null),6,1.0,1
الشِّمَالِ,ال,شمال,,6,1.0,1
أَرَأَيْتَ,أ,رأي,ت,6,1.0,1
يُسْرَاً,,يسر,ا,6,1.0,1
رَأَوْا,,رأ,وا,6,1.0,1
يَنْبَغِي,ي,نبغي,,6,1.0,1
يَخْشَى,ي,خشى,,6,1.0,1
أَتَاكَ,,أتا,ك,6,1.0,1
الْكُبْرَى,ال,كبرى,,6,1.0,1
طَغَى,,طغى,,6,1.0,1
تَقُولَ,ت,قول,,6,1.0,1
يُؤْمِنْ,ي,ؤمن,,6,1.0,1
يَاوَيْلَنَا,يا,ويل+نا+None,,6,1.0,1
بِالْعَذَابِ,ب|ال,عذاب,,6,1.0,1
الْحَمِيدُ,ال,حميد,,6,1.0,1
يَسْعَى,ي,سعى,,6,1.0,1
عِبَادَ,,عباد,,6,1.0,1
مُدَّكِرٍ,,مدكر,,6,1.0,1
وَنُذُرِ,و,نذر+None,,6,1.0,1
طُغْيَانِهِمْ,,طغيان,هم,5,1.0,1
حَوْلَهُ,,حول,ه,5,1.0,1
رَبَّكُمُ,,رب,كم,5,1.0,1
تَجْعَلُوا,ت,جعل,وا,5,1.0,1
يُحْيِيكُمْ,ي,حيي,كم,5,1.0,1
سَمَاوَاتٍ,,سماو,ات,5,1.0,1
أَقُلْ,,أقل,(null),5,1.0,1
تَكْتُمُونَ,ت,كتم,ون,5,0.8,2
لِآدَمَ,ل,آدم,,5,1.0,1
فَسَجَدُوا,ف,سجد,وا,5,1.0,1
فَتَابَ,ف,تاب,,5,1.0,1
وَأَوْفُوا,و,أوف,وا,5,0.8,2
يَظُنُّونَ,ي,ظن,ون,5,0.8,2
وَأَنَّهُمْ,و,أن,هم,5,0.8,2
شِئْتُمْ,,شئ,تم,5,1.0,1
الْبَابَ,ال,باب,(null),5,1.0,1
يَفْسُقُونَ,ي,فسق,ون,5,1.0,1
تَعْثَوْا,ت,عث,وا,5,1.0,1
مُفْسِدِينَ,,مفسد,ين,5,1.0,1
وَالنَّصَارَى,و|ال,نصارى,,5,1.0,1
وَرَفَعْنَا,و,رفع,نا,5,1.0,1
خُذُوا,,خذ,وا,5,1.0,1
الْآنَ,ال,آن+(null)+None,,5,0.6,2
جِئْتَ,,جئ,ت,5,1.0,1
قُلُوبُكُمْ,,قلوب,كم,5,1.0,1
فَهِيَ,ف,هي,,5,1.0,1
يَكْتُبُونَ,ي,كتب,ون,5,1.0,1
مِيثَاقَ,,ميثاق,,5,1.0,1
حُسْنَاً,,حسن,ا,5,1.0,1
بِالْإِثْمِ,ب|ال,إثم,,5,1.0,1
وَالْعُدْوَانِ,و|ال,عدوان,(null),5,1.0,1
خِزْيٌ,,خزي,,5,1.0,1
يُخَفَّفُ,ي,خفف,,5,1.0,1
لَعَنَهُمُ,,لعن,هم,5,1.0,1
وَلِلْكَافِرِينَ,و|ل|ال,كافر,ين,5,1.0,1
قُلُوبِهِمُ,,قلوب,(null)|هم,5,1.0,1
الْآخِرَةُ,ال,آخر,ة|(null),5,1.0,1
بِالظَّالِمِينَ,ب|ال,ظالم,ين,5,1.0,1
يَوَدُّ,ي,ود,,5,1.0,1
سَنَةٍ,,سن,ة|(null),5,1.0,1
وَبُشْرَى,و,بشرى,,5,1.0,1
كِتَابَ,,كتاب,(null),5,1.0,1
ظُهُورِهِمْ,,ظهور,هم,5,1.0,1
الشَّيَاطِينَ,ال,شياطين,(null),5,1.0,1
تُرِيدُونَ,ت,ريد,ون,5,0.8,2
بِالْإِيمَانِ,ب|ال,إيمان,,5,1.0,1
نَصَارَى,,نصارى,,5,1.0,1
أَسْلَمَ,,أسلم,,5,1.0,1
يَتْلُونَ,ي,تل,ون,5,1.0,1
اسْمُهُ,,ٱسم,(null)|ه,5,1.0,1
هُدَى,,هدي,,5,1.0,1
وَلَقَدِ,و|ل,قد,,5,1.0,1
حَضَرَ,,حضر,,5,1.0,1
يَعْقُوبَ,,يعقوب,,5,1.0,1
وَاحِدَاً,,واحد,ا,5,1.0,1
تُسْأَلُونَ,ت,سأل,ون,5,1.0,1
بِمِثْلِ,ب,مثل,(null),5,1.0,1
وَرَبُّكُمْ,و,رب+كم+None+None,,5,0.4,3
لَرَءُوفٌ,ل,رءوف,,5,1.0,1
وَاشْكُرُوا,و,ا+شكر,وا,5,1.0,1
يَكْتُمُونَ,ي,كتم,ون,5,1.0,1
وَأَصْلَحُوا,و,أصلح,وا,5,1.0,1
وَالنَّاسِ,و|ال,ناس,,5,1.0,1
خَلْقِ,,خلق,(null),5,1.0,1
يَرَى,ي,ري,,5,1.0,1
اتَّبَعُوا,,اتبع,وا,5,1.0,1
بِهِمُ,ب,هم,,5,1.0,1
خُطُوَاتِ,,خطو,ات|(null),5,1.0,1
يَسْمَعُ,ي,سمع,,5,1.0,1
وَحِينَ,و,حين,(null),5,1.0,1
صَدَقُوا,,صدق,وا,5,1.0,1
يَاأُولِي,يا,أول,ي,5,1.0,1
خَافَ,,خاف,,5,1.0,1
سَفَرٍ,,سفر,(null),5,1.0,1
أُحِلَّ,,أحل,,5,1.0,1
وَكُلُوا,و,كل,وا,5,0.8,2
الْفَجْرِ,ال,فجر,(null),5,1.0,1
وَلَيْسَ,و,ليس,,5,1.0,1
اتَّقَى,,اتقى,,5,1.0,1
يُقَاتِلُوكُمْ,ي,قاتل,و|كم,5,1.0,1
يَبْلُغَ,ي,بلغ,,5,1.0,1
الْمِهَادُ,ال,مهاد,,5,1.0,1
بِالْعِبَادِ,ب|ال,عباد,,5,1.0,1
كَافَّةً,,كاف,ة|(null),5,1.0,1
وَقُضِيَ,و,قضي,,5,1.0,1
وَابْنِ,و,ابن,,5,1.0,1
الْقِتَالُ,ال,قتال,(null),5,1.0,1
دِينِكُمْ,,دين,كم,5,1.0,1
هَاجَرُوا,,هاجر,وا,5,1.0,1
الْيَتَامَى,ال,يتامى,,5,1.0,1
وُسْعَهَا,,وسع,ها,5,1.0,1
فَرِيضَةً,,فريض,ة,5,1.0,1
بِيَدِهِ,ب,يد+ه+None,,5,0.4,3
خَرَجُوا,,خرج,وا,5,1.0,1
الْعَلِيُّ,ال,علي,,5,1.0,1
كَالَّذِي,ك,الذي,,5,1.0,1
حَبَّةٍ,,حب,ة|(null),5,1.0,1
يُنْفِقُ,ي,نفق,,5,1.0,1
الْخَبِيثَ,ال,خبيث,,5,1.0,1
حَمِيدٌ,,حميد,,5,1.0,1
الصَّدَقَاتِ,ال,صدق,ات,5,1.0,1
سَيِّئَاتِكُمْ,,سيئ,ات|كم,5,1.0,1
بِسِيمَاهُمْ,ب,سيم,ا|هم,5,1.0,1
يَقُومُ,ي,قوم,,5,1.0,1
سَلَفَ,,سلف,,5,1.0,1
أَثِيمٍ,,أثيم,,5,1.0,1
إِحْدَاهُمَا,,إحدا,هما,5,1.0,1
الْأُخْرَى,ال,أخرى,,5,1.0,1
التَّوْرَاةَ,ال,تورا,ة,5,1.0,1
وَالْإِنْجِيلَ,و|ال,إنجيل,,5,1.0,1
الْأَرْحَامِ,ال,أرحام,,5,1.0,1
أَمْوَالُهُمْ,,أموال,هم,5,1.0,1
لَعِبْرَةً,,ل+عبر,ة,5,1.0,1
جَنَّاتٌ,,جن,ات|(null),5,1.0,1
إِنَّنَا,,أن,نا,5,1.0,1
اللَّهُمَّ,,الله,M,5,1.0,1
الْمُلْكِ,ال,ملك,,5,1.0,1
الْمَيِّتِ,ال,ميت,,5,1.0,1
الْحَيِّ,ال,حي,(null),5,0.8,2
عَمِلَتْ,,عمل,ت,5,1.0,1
أَطِيعُوا,,أطيع,وا,5,1.0,1
قَالَتِ,,قال,ت,5,1.0,1
يَامَرْيَمُ,يا,مريم,,5,1.0,1
بُيُوتِكُمْ,,بيوت,كم,5,1.0,1
فَاعْبُدُوهُ,ف,ا+عبد,و|ه,5,1.0,1
يَتَّخِذَ,ي,تخذ,,5,1.0,1
وَقَالَتْ,و,قال,ت,5,0.8,2
أُوتِيتُمْ,,أوتي,تم,5,1.0,1
يُؤْتِيهِ,ي,ؤتي,ه,5,1.0,1
دِينِ,,دين,(null),5,0.8,2
جَزَاؤُهُمْ,,جزاؤ,هم,5,1.0,1
لِبَنِي,ل,بني,,5,1.0,1
تُطِيعُوا,ت,طيع,وا,5,1.0,1
وَكَيْفَ,و,كيف,,5,1.0,1
رَحْمَةِ,,رحم,ة,5,1.0,1
الْأَدْبَارَ,ال,أدبار,,5,1.0,1
سَوَاءً,,سواء,,5,1.0,1
تَصْبِرُوا,ت,صبر,وا,5,1.0,1
جَعَلَهُ,,جعل,ه,5,1.0,1
فَانْظُرُوا,ف,انظر,وا,5,1.0,1
جَاهَدُوا,,جاهد,وا,5,1.0,1
يُرِدْ,ي,رد,,5,1.0,1
أَمْرِنَا,,أمر,نا,5,1.0,1
خَاسِرِينَ,,خاسر,ين,5,1.0,1
مَوْلَاكُمْ,,مولا,كم,5,1.0,1
يَغْشَى,ي,غشى,,5,1.0,1
قُتِلُوا,,قتل,وا,5,1.0,1
رَحْمَةٍ,,رحم,ة,5,1.0,1
وَاسْتَغْفِرْ,و,استغفر,,5,1.0,1
نَعْلَمُ,ن,علم,,5,1.0,1
تَحْسَبَنَّ,ت,حسب+ن,,5,1.0,1
آتَاهُمُ,,آتا,هم,5,1.0,1
خَلْفِهِمْ,,خلف,هم,5,1.0,1
يَسْتَبْشِرُونَ,ي,ستبشر,و|ن,5,1.0,1
أَحْسَنُوا,,أحسن,وا,5,1.0,1
يَحْزُنْكَ,ي,حزن,ك,5,1.0,1
الْكُفْرِ,ال,كفر,,5,1.0,1
فَآمِنُوا,ف,آمن,وا,5,0.8,2
الْحَرِيقِ,ال,حريق,(null),5,1.0,1
بِظَلَّامٍ,ب,ظلام,,5,1.0,1
لِلْعَبِيدِ,ل|ل,عبيد,,5,1.0,1
الْأُمُورِ,ال,أمور,,5,1.0,1
يَذْكُرُونَ,ي,ذكر,و|ن,5,1.0,1
بِرَبِّكُمْ,ب,رب,كم,5,0.8,2
ذَكَرٍ,,ذكر,,5,1.0,1
الْبِلَادِ,ال,بلاد,(null),5,1.0,1
وَخَلَقَ,و,خلق,,5,1.0,1
آبَاؤُكُمْ,,آباؤ,كم,5,1.0,1
يَأْتِينَ,ي,أتي,ن,5,1.0,1
السُّوءَ,ال,سوء,,5,1.0,1
يَتُوبُ,ي,توب,,5,1.0,1
فَعَسَى,,ف+عسى,,5,0.6,2
الْمُؤْمِنَاتِ,ال,مؤمن,ات,5,1.0,1
أَمْوَالِهِمْ,,أموال,هم,5,1.0,1
حَدِيثَاً,,حديث,ا,5,1.0,1
تَقْرَبُوا,ت,قرب,وا,5,1.0,1
تَعْلَمُوا,ت,علم,وا,5,1.0,1
يُشْرِكْ,ي,شرك,,5,1.0,1
تُؤْمِنُونَ,ت,ؤمن,و|ن,5,1.0,1
رَأَيْتَ,,رأي,ت,5,1.0,1
يَصُدُّونَ,ي,صد,و|ن,5,1.0,1
جَاءُوكَ,,جاء,و|ك,5,1.0,1
يَحْلِفُونَ,ي,حلف,ون,5,0.8,2
فَأَعْرِضْ,ف,أعرض,,5,1.0,1
يَجِدُوا,ي,جد,وا,5,1.0,1
فَعَلُوهُ,,فعل,و|ه,5,1.0,1
صِرَاطَاً,,صراط,ا,5,1.0,1
أَنْعَمَ,,أنعم,,5,1.0,1
لَيَقُولَنَّ,,ل+ي+قول+ن,,5,1.0,1
وَاجْعَلْ,و|أ,أجعل,,5,1.0,1
يُقَاتِلُونَ,ي,قاتل,ون,5,1.0,1
تُصِبْهُمْ,ت,صب,هم,5,1.0,1
عِنْدِكَ,,عند,ك,5,1.0,1
وَقَعَ,,وقع,(null),5,1.0,1
يُجَادِلُ,ي,جادل,,5,1.0,1
تَعْلَمُ,ت,علم,,5,1.0,1
إِنَاثَاً,,إناث,ا,5,1.0,1
خَسِرَ,,خسر,,5,1.0,1
غُرُورَاً,,غرور,ا,5,1.0,1
وَاتَّبَعَ,و,اتبع,,5,1.0,1
كُلَّاً,,كل,ا,5,1.0,1
