Root,Example_Word,Example_Wazn,Example_Count,Unique_Words,Total_Occurrences
بطش,بَطَشْتُمْ,فَعَل,4,8,22
بلاغ,الْبَلَاغُ,فَفَعَل,22,1,22
ترد,تُرِيدُونَ,فُعِيل,16,2,22
تنا,فَتَنَّا,فَعَّل,10,3,22
حنف,حَنِيفَاً,فَعِيل,20,2,22
خذت,أَخَذَتْهُ,أَفَعَل,6,6,22
ذوق,ذُوقُوا,فُعِل,16,3,22
رقب,رَقِيبَاً,فَعِيل,4,8,22
ريح,الرِّيحَ,فِعَل,10,7,22
ضالي,الضَّالِّينَ,فَفَعِّل,18,2,22
ظلل,الظِّلَّ,فِعَّ,2,12,22
قرض,قَرْضَاً,فَعْل,12,4,22
لقا,يُلَقَّاهَا,يُفَعَّل,12,4,22
مره,أَمْرِهِ,أَفْعِل,14,4,22
مسن,مَسَّنِيَ,فَعَّل,12,3,22
معك,مَعَكَ,فَعَل,22,1,22
معي,مَعِيَ,فَعل,22,1,22
نبء,أَنْبَاءِ,أَفْعَال,12,4,22
ندي,يُنَادِيهِمْ,يُفَاعِل,12,5,22
هدا,هَدَانَا,فَعَل,10,5,22
هزو,هُزُوَاً,فُعُل,22,1,22
وته,مَوْتِهَا,مَفْعِل,22,1,22
وفا,يَتَوَفَّاكُمْ,يَتَفَعَّل,16,3,22
ألح,الْحُكْمُ,فُعْل,18,2,21
جءن,جَاءَنَا,فَأَعل,12,3,21
حرق,الْحَرِيقِ,فَعِيل,15,2,21
دعء,الدُّعَاءَ,فُعَال,6,9,21
ربع,أَرْبَعِينَ,أَفْعَل,8,6,21
ردد,يَرُدُّونَكُمْ,يَفُعُّونَ,5,7,21
روح,الرُّوحُ,فُعِل,6,8,21
ستة,سِتَّةِ,فِعَّل,21,1,21
شاء,تَشَاءُ,تَفَعُل,18,3,21
شرب,تَشْرَبُونَ,تَفْعَلُونَ,8,6,21
ضلا,ضَلُّوا,فَعُّول,18,2,21
عمه,يَعْمَهُونَ,يَفْعَلُونَ,21,1,21
عود,عَادٍ,فَاعٍ,9,4,21
غبر,الْغَابِرِينَ,فَاعِل,21,1,21
كيل,الْكَيْلَ,فَعْل,12,5,21
مسك,يُمَسِّكُونَ,يُفَعِّل,4,11,21
منع,مَنَعَكَ,فَعَل,6,8,21
نري,نُرِيَنَّكَ,فُعِل,16,3,21
نقض,يَنْقُضُونَ,يَفْعُلُونَ,12,4,21
ويل,وَيْلٌ,فَعْل,14,3,21
يرو,يَرَوُا,فَعَل,9,3,21
يصف,يَصِفُونَ,فَعل,21,1,21
يقن,الْيَقِينِ,فَعِيل,12,4,21
أسم,اسْمُهُ,افْتَعَل,15,2,20
أكن,أَكُونَ,فَعُول,18,2,20
ؤمر,يُؤْمَرُونَ,يُفْعَل,10,3,20
ثقف,ثَقِفْتُمُوهُمْ,فَعل,8,4,20
جند,جُنْدٌ,فُعْلٌ,4,10,20
حزب,حِزْبَ,فِعْل,6,5,20
خطب,الْخِطَابِ,فِعَال,4,8,20
خفت,يَتَخَافَتُونَ,يَتَفَاعَل,8,6,20
خلل,خَلِيلَاً,فَعِيل,6,7,20
خيه,أَخِيهِ,أَفعِل,20,1,20
راح,الرِّيَاحَ,فِيعَل,14,3,20
سطع,اسْتَطَعْتُمْ,افْتَعَل,10,5,20
شقق,شِقَاقٍ,فِعَال,4,9,20
صعق,الصَّاعِقَةُ,فَاعِلَة,9,6,20
صلي,الْمُصَلِّينَ,مُفَعِّل,6,6,20
ضرو,يَضُرُّوا,يَفُعُّل,9,4,20
ضللة,الضَّلَالَةَ,فَفَاعَل,9,4,20
عدي,الْمُعْتَدِينَ,افْتَعَل,12,4,20
فطر,يَتَفَطَّرْنَ,يَتَفَعَّلْ,6,9,20
قهر,الْقَهَّارُ,فَعَّال,8,5,20
نقص,نَنْقُصُهَا,نَفْعُل,6,7,20
نين,سِنِينَ,فِعَل,18,2,20
وزن,مَوَازِينُهُ,مَفَاعِيل,12,5,20
يزد,يَزِيدُ,فَعِيل,8,4,20
تجر,تِجَارَةً,فِعَالَة,8,5,19
تحت,تَحْتِهِمُ,فَعْل,6,5,19
ثاب,ثَوَابَاً,فَوَعَل,8,6,19
حجج,الْحَجِّ,فَعِّ,8,7,19
حلف,يَحْلِفُونَ,يَفْعِلُونَ,16,3,19
دلل,أَدُلُّكُمْ,أَفُعُّ,9,5,19
ذي,ذِي,فِل,19,1,19
رجف,الرَّجْفَةُ,فَعْلَة,12,3,19
رهق,تَرْهَقُهُمْ,تَفْعَل,6,5,19
زول,يَزَالُونَ,يَفَالُونَ,8,4,19
سبب,سَبَبَاً,فَعَل,8,5,19
سبت,السَّبْتِ,فَعْل,8,5,19
شته,يَشْتَهُونَ,يَفْعَلُونَ,17,2,19
صيب,يُصِيبَهُمْ,يُفعِل,6,6,19
ضرع,تَضَرُّعَاً,تَفَعُّل,6,4,19
قطع,قُطِّعَتْ,فُعِّل,4,8,19
لست,لَسْتَ,فَعْل,8,4,19
نشأ,النَّشْأَةَ,فَعْلَة,9,4,19
وحي,يُوحِي,يُفعِل,8,5,19
أبي,أَبِي,فَعل,8,3,18
أسجد,اسْجُدُوا,افْتَعَل,18,1,18
أقل,أَقُولُ,فَعُول,14,2,18
إلء,الْآنَ,فِعْلَان,18,1,18
جدد,جَدِيدٍ,فَعِيل,12,4,18
جزاؤ,جَزَاؤُهُمْ,فَفَعَل,10,3,18
جوم,النُّجُومِ,نُفعِل,9,3,18
دعت,دَعَوْتُهُمْ,فَعَوْل,6,5,18
ركب,يَرْكَبُونَ,يَفْعَلُونَ,4,8,18
ركع,الرَّاكِعِينَ,فَاعِل,6,6,18
روء,وَرَاءَ,فَالَ,7,4,18
سطر,أَسَاطِيرُ,أَفَاعِيل,9,5,18
سكي,الْمِسْكِينِ,مِفْعِل,6,5,18
سمء,الْأَسْمَاءُ,أَفْعَال,12,5,18
شمل,الشِّمَالِ,فِعَال,12,3,18
ضحك,يَضْحَكُونَ,يَفْعَلُونَ,9,5,18
عذر,مَعْذِرَتُهُمْ,مَفْعِل,6,5,18
عوج,عِوَجَاً,فِعَل,14,3,18
فسك,نَفْسَكَ,نَفْعَل,8,3,18
فسي,نَفْسِي,نَفْعِل,18,1,18
قنت,قَانِتُونَ,فَاعِلُون,4,8,18
محط,مُحِيطٌ,فُعِيل,12,3,18
مشو,يَمْشُونَ,يَفْعُونَ,15,2,18
معن,مَعَنَا,فَعَل,12,2,18
مقام,مَقَامَ,فَفَعَل,4,7,18
مقم,مُقِيمٌ,فُعِيل,10,4,18
نبأ,نَبَأَ,فَعَل,4,7,18
نود,يُنَادُونَكَ,يُفَالُ,6,5,18
ونا,كُونُوا,فَعُول,18,1,18
يتب,يَتُوبُ,فَعُول,10,2,18
أخا,أَخَاهُمْ,فَعَل,16,2,17
بخس,تَبْخَسُوا,تَفْعَل,9,5,17
حرج,حَرَجٌ,فَعَل,10,3,17
حرف,يُحَرِّفُونَ,يُفَعِّل,9,4,17
حسر,حَسَرَاتٍ,فَعَل,4,6,17
حمم,حَمِيمٍ,فَعِيل,7,3,17
خرص,يَخْرُصُونَ,يَفْعُلُونَ,11,3,17
درس,تَدْرُسُونَ,تَفْعُلُونَ,6,4,17
ردن,تُرِدْنَ,تُفِعْل,6,5,17
رضع,أَرْضَعْنَكُمْ,أَفْعَلْ,3,7,17
رود,رَاوَدْتُهُ,فَأَعل,6,6,17
سفر,سَفَرٍ,فَعَل,10,5,17
سفل,الْأَسْفَلِينَ,أَفْعَل,6,5,17
سفه,السُّفَهَاءُ,فُعَلَاء,8,6,17
سلك,سَلَكْنَاهُ,فَعَلْنَا,3,7,17
شبه,مُتَشَابِهَاً,مُتَفَاعِل,6,7,17
صمم,الصُّمَّ,فُعَّ,8,4,17
عكف,عَاكِفُونَ,فَاعِلُون,4,6,17
غرب,الْغَرْبِيِّ,فَعْلِيّ,3,8,17
فرر,فِرَارَاً,فِعَال,6,6,17
قئم,قَائِمَةً,فَاعِلَة,9,3,17
قام,قِيَامَاً,فِيعَل,8,5,17
قرار,الْقَرَارُ,فَفَعَل,6,4,17
كلف,نُكَلِّفُ,نُفَعِّل,6,4,17
متر,تَمْتَرُونَ,تَفْعَلُونَ,6,3,17
مين,أَمِينٌ,أَفعِل,9,4,17
نحي,نُوحِي,فُوعِل,8,3,17
أتك,يَأْتُوكَ,يَفْعُول,16,1,16
أخو,أَخَاهُ,فَعَاهُ,8,2,16
أفق,أَنْفَقُوا,فَنْعَل,14,2,16
ؤخر,يُؤَخِّرُهُمْ,يُفَعِّل,9,4,16
إحس,إِحْسَانَاً,فِعْلَان,12,3,16
اتت,آتَيْتَ,أَفَعَيْل,4,5,16
ايتم,آتَيْتُمُوهُنَّ,أَفَتَفْعُل,16,1,16
ثلث,الثَّالِثَةَ,فَاعِلَة,4,7,16
حسد,تَحْسُدُونَنَا,تَفْعُلُونَ,7,5,16
ذلل,الذُّلِّ,فُعِّ,9,5,16
رجس,الرِّجْسَ,فِعْل,8,4,16
سئل,مَسْئُولَاً,مَفْعُول,8,5,16
سول,سَوَّلَتْ,فَعَّل,6,7,16
شعب,شُعَيْبَاً,فُعَيْل,14,3,16
شفق,مُشْفِقُونَ,مُفْعِلُون,10,2,16
طرف,الطَّرْفِ,فَعْل,6,6,16
طلق,طَلَّقْتُمُ,فَعَّل,8,4,16
عدوة,الْعَدَاوَةَ,فَفَاعَل,9,4,16
عزل,اعْتَزَلْتُمُوهُمْ,افْتَعَل,4,6,16
عيد,نُعِيدُكُمْ,نُفعِل,3,6,16
غشا,تَغَشَّاهَا,تَفَعَّل,4,4,16
لقء,لِقَاءَ,فِعَال,14,2,16
مشي,يَمْشِي,يَفْعِي,12,2,16
مقت,مَقْتَاً,فَعْل,6,7,16
مكنت,مَكَانَتِكُمْ,فَفَاعَل,12,2,16
نجا,نَجَّاهُمْ,فَعَّل,4,6,16
نرو,نَرَاكَ,فَعَاكَ,16,1,16
نصح,النَّاصِحِينَ,فَاعِل,9,5,16
نقل,نَقُولُ,فَعُول,14,2,16
نها,يَنْهَاكُمُ,يَفْعَل,8,4,16
يشاء,يَشَاءَ,فَفَعَل,16,1,16
يصل,يَصِلُونَ,فَعل,9,3,16
أبع,أَتَّبِعُ,افْتَعَل,10,3,15
أرن,أَرُونِي,فَعُول,10,2,15
أعذ,أَعُوذُ,فَعُول,12,2,15
أين,أَيْنَ,فَعْل,9,2,15
ادم,آدَمَ,أَفَعَل,13,2,15
افة,كَافَّةً,فُعَّل,15,1,15
بدأ,يَبْدَأُ,يَفْعَل,12,3,15
بقي,الْبَاقِينَ,فَاعِل,6,6,15
تبو,يَتُوبُونَ,يَفُولُونَ,9,2,15
تصف,تَصِفُونَ,فَعل,13,2,15
تظر,الْمُنْتَظِرِينَ,مُنْفَعِل,9,2,15
تعد,تَعِدُنَا,فَعل,12,2,15
جءك,جَاءُوكَ,فَاعُول,15,1,15
جبر,جَبَّارَاً,فَعَّال,6,4,15
حبط,حَبِطَتْ,فَعل,12,3,15
حجة,حَاجَةً,فَأَعل,6,4,15
خدع,يُخَادِعُونَ,يُفَاعِل,6,4,15
خضو,يَخُوضُوا,يَفُولُوا,12,2,15
خطا,خُطُوَاتِ,فُعُول,15,1,15
ذري,الْمُنْذَرِينَ,مُنْفَعِل,15,1,15
رجز,رِجْزَاً,فِعْل,6,5,15
رية,مِرْيَةٍ,مِفْعَل,15,1,15
ريت,رَأَيْتَهُمْ,فَأَعْل,12,2,15
زرع,تَزْرَعُونَهُ,تَفْعَلُونَ,6,5,15
زنة,زِينَةً,فِيعَل,4,5,15
سقي,نُسْقِيكُمْ,نُفْعِل,6,5,15
صبت,أَصَابَتْكُمْ,أَفَاعَل,6,3,15
ضلن,فَضَّلْنَا,فَّعْل,8,4,15
طع,تَسْتَطِيعَ,تَسْتَفِيع,8,3,15
عاد,عِبَادَتِهِ,فِبَعِل,9,3,15
عثو,تَعْثَوْا,تَفْعَل,15,1,15
عرج,يَعْرُجُ,يَفْعُل,6,4,15
عزم,تَعْزِمُوا,تَفْعِل,3,7,15
عسر,الْعُسْرِ,فُعْل,4,8,15
عشر,عَشَرَ,فَعَل,4,7,15
عله,فَعَلُوهُ,فَعُول,15,1,15
قمر,الْقَمَرَ,فَعَل,9,2,15
كلت,تَوَكَّلْتُ,تَوَفَّعْل,14,2,15
لوق,يُلَاقُوا,يُفَالُ,9,2,15
مست,مَسَّتْهُ,فَعَّل,6,3,15
منن,مَمْنُونٍ,مَفْعُول,4,5,15
نسي,نَسِيتُمْ,فَعل,4,6,15
نقذ,يُنْقِذُونِ,يُفْعِل,6,4,15
نقم,انْتِقَامٍ,افْتَعَل,4,5,15
يعظ,يَعِظُكُمْ,فَعل,9,3,15
يفق,يَفْقَهُوهُ,فَعْلَهُ,12,2,15
أذق,أَذَقْنَا,فَعَلْنَا,8,2,14
برء,بَرِيءٌ,فَعِيل,9,4,14
بلو,نَبْلُوهُمْ,نَفْعُل,4,5,14
تقى,التَّقْوَى,فَعْوَل,12,2,14
ثلاث,ثَلَاثَ,فَفَعَل,6,5,14
حرث,حَرْثَ,فَعْل,6,4,14
حرر,الْحَرُورُ,فَعُول,2,7,14
حصو,تُحْصُوهَا,تُفْعُل,8,3,14
خف,خِفْتُمْ,فِل,14,1,14
خلا,خَلَوْا,فَعَوْل,14,1,14
دفع,ادْفَعْ,إِفْعَلْ,4,6,14
ذات,ذَاتِ,فَعَل,10,3,14
ذلة,ذِلَّةٌ,فِعَّل,8,2,14
ربا,الرِّبَا,فِعَل,14,1,14
ردا,رُدُّوا,فُعُّول,6,4,14
رده,رُدُّوهَا,فُعُّول,6,4,14
رعب,الرُّعْبَ,فُعْل,12,2,14
زكي,يُزَكِّيهِمْ,يُفَعِّل,6,3,14
سير,سُيِّرَتْ,فُعِّل,4,5,14
صفف,صَفَّاً,فَعَّ,14,1,14
ضيع,يُضِيعُ,يُفعِل,8,2,14
طرق,الطَّرِيقَةِ,فَعِيلَة,3,6,14
طلع,تَطَّلِعُ,تَفَّعِل,4,6,14
طوع,طَوْعَاً,فَعْل,8,4,14
طوف,يُطَافُ,يُفَالُ,4,6,14
عدة,الْعِدَّةَ,فِعَّل,6,4,14
عوم,عَامٍ,فَاعٍ,6,3,14
غلظ,غَلِيظَاً,فَعِيل,6,6,14
فرا,افْتَرَاهُ,افْتَعَل,14,1,14
قصر,قَاصِرَاتُ,فَاعِلَات,6,4,14
قضى,قَضَى,فَعَل,10,2,14
كنن,تُكِنُّ,تُفِعُّ,4,6,14
مهد,الْمَهْدِ,فَعْل,6,4,14
نبع,نَتَّبِعُ,افْتَعَل,6,4,14
نبغ,يَنْبَغِي,يَفْعَل,12,2,14
نجن,نَجَّيْنَا,فَعَّيْل,8,3,14
نشر,يُنْشِرُونَ,يُفْعِل,3,7,14
نعد,نَعِدُهُمْ,فَعل,12,2,14
ورة,سُورَةٌ,فَعَل,14,1,14
يؤت,يُؤْتُونَ,فُعْل,11,2,14
يرث,يَرِثُونَ,فَعل,8,2,14
يرى,يَرَى,فَعَل,10,2,14
أقتل,اقْتُلُوا,فُعْلُل,9,2,13
أنظر,انْظُرُوا,فُعْلُل,9,2,13
بره,بُرْهَانَكُمْ,فُعْلَان,8,4,13
بغء,ابْتِغَاءَ,افْتَعَل,10,3,13
بكو,يَبْكُونَ,يَفْعُونَ,8,2,13
بيض,بَيْضَاءَ,فَعْلَاء,8,3,13
تذر,تَذَرُنَّ,فَعْلَان,6,3,13
ثمد,ثَمُودُ,فَعُول,7,2,13
جءه,جَاءُوهَا,فَاعُول,9,2,13
جأر,تَجْأَرُوا,تَفْعَل,5,3,13
جنن,مَجْنُونٌ,مَفْعُول,8,3,13
دود,دَاوُودَ,فَاعُول,11,2,13
ذبح,يُذَبِّحُونَ,يُفَعِّل,4,5,13
ركم,يُرِيكُمُ,يُفِيعُل,6,3,13
روه,رَأَوْهُ,فَأَعْل,6,3,13
زكى,تَزَكَّى,تَفَعَّل,4,4,13
شهو,الشَّهَوَاتِ,فَعَل,9,2,13
ظري,الْمُنْظَرِينَ,مُنْفَعِل,9,2,13
غوي,الْغَاوِينَ,فَاعِل,6,4,13
قبض,قَبَضْنَاهُ,فَعَلْنَا,3,5,13
لحد,يُلْحِدُونَ,يُفْعِل,9,2,13
مرر,مَرَّ,فَعَّ,8,3,13
مودة,مَوَدَّةً,فَفَعَّل,6,4,13
نبت,تُنْبِتُ,تُفْعِل,4,5,13
نزغ,يَنْزَغَنَّكَ,يَفْعَل,8,4,13
نفخ,يُنْفَخُ,يُفْعَل,8,3,13
نكث,يَنْكُثُونَ,يَفْعُلُونَ,6,4,13
يؤذ,يُؤْذُونَ,فُعْل,13,1,13
يقم,يَقُومُ,فَعُول,10,2,13
أتن,تَأْتِينَا,تَفْعِيلَ,9,2,12
أرث,أُورِثْتُمُوهَا,فُوعِل,8,3,12
برئ,بَارِئِكُمْ,فَاعِل,4,5,12
بيه,بَيْنَهُ,فَعْنَل,6,3,12
ترف,مُتْرَفُوهَا,مُفْعَل,6,4,12
تره,تَرَوْهَا,فَعَوْل,12,1,12
تمت,تَمُوتُنَّ,فَعُول,8,3,12
ثبت,الثَّابِتِ,فَاعِل,2,6,12
جمل,جَمِيلَاً,فَعِيل,8,3,12
خمس,خَمْسِينَ,فَعْلَان,4,4,12
ذبن,كَذَّبُونِ,فَّعُول,12,1,12
زود,زَادَهُمْ,فَالَ,6,3,12
زيد,تَزِيدُونَنِي,تَفعِل,7,4,12
شأم,الْمَشْأَمَةِ,مَفْعَلَة,12,1,12
شتر,يَشْتَرُونَ,يَفْعَلُونَ,12,1,12
شعت,شِيعَتِهِ,فِيعَل,12,1,12
صبك,أَصَابَكَ,أَفَاعَل,6,2,12
صية,وَصِيَّةٍ,فِعَّل,8,2,12
طغت,الطَّاغُوتَ,فَاعُول,6,3,12
عتب,يُسْتَعْتَبُونَ,يُسْتَفْعَل,9,2,12
عسى,عِيسَى,فِيعَل,12,1,12
فئز,الْفَائِزُونَ,فَاعِلُون,12,1,12
فساد,الْفَسَادَ,فَفَعَل,8,3,12
كرة,كَرَّةً,فَعَّل,6,3,12
لون,أَلْوَانُهُ,أَفْعَال,8,2,12
مأا,مَأْوَاهُمْ,فَعْوَل,8,3,12
متن,أَمَتَّنَا,أَفَعَّل,4,4,12
مثى,مَثْوَىً,فَعْوَل,5,3,12
مسه,مَسَّهُ,فَعَّل,12,1,12
موب,مَآبٍ,فَائِل,5,4,12
ميل,تَمِيلُوا,تَفعِل,6,4,12
نرى,نَرَى,فَعَل,12,1,12
هوو,هَوَاهُ,فَعَاهُ,12,1,12
وجه,وَجِيهَاً,فَعِيل,4,4,12
ورد,الْمَوْرُودُ,مَفْعُول,2,6,12
يطع,يُطِعِ,فُعِل,12,1,12
ترا,تَرَوْا,فَعَوْل,6,3,11
تسع,تِسْعَةَ,فِعْلَة,3,6,11
جور,يُجَاوِرُونَكَ,يُفَاعِل,6,4,11
حلو,يُحَلَّوْنَ,يُفَعَّل,11,1,11
خضر,الْأَخْضَرِ,أَفْعَل,3,5,11
خون,الْخَائِنِينَ,فَائِل,6,4,11
دئر,دَائِرَةُ,فَاعِلَة,6,3,11
دخر,دَاخِرُونَ,فَاعِلُون,4,3,11
دمر,تَدْمِيرَاً,تَفْعِيلَ,4,4,11
راب,تَرْتَابُوا,افْتَعَل,3,5,11
رغب,رَاغِبُونَ,فَاعِلُون,4,4,11
رفق,مُرْتَفَقَاً,افْتَعَل,4,4,11
زين,زُيِّنَ,فُعِّل,9,2,11
سقط,تَسْقُطُ,تَفْعُل,2,6,11
سلف,سَلَفَ,فَعَل,5,4,11
سما,بِئْسَمَا,فَعَل,6,3,11
صعد,تُصْعِدُونَ,تُفْعِل,3,5,11
صيد,الصَّيْدِ,فَعْل,6,3,11
طبع,يَطْبَعُ,يَفْعَل,6,3,11
عصت,عَصَيْتُ,فَعَيْل,6,3,11
غلل,غُلَّتْ,فُعَّ,2,6,11
فرط,يُفَرِّطُونَ,يُفَعِّل,3,5,11
فكه,فَاكِهِينَ,فَاعِل,4,4,11
قرع,الْقَارِعَةُ,فَاعِلَة,9,2,11
كلن,تَوَكَّلْنَا,تَوَفَّعْل,8,2,11
لغو,لَغْوَاً,فَعْل,6,4,11
معد,الْمِيعَادَ,فِيعَئِل,8,3,11
ندم,نَادِمِينَ,فَاعِل,8,2,11
نسك,مَنْسَكَاً,مَفْعَل,4,4,11
نول,يَنَالُهُمُ,يَفَالُ,3,4,11
هرن,هَارُونَ,فَاعُول,9,2,11
هوت,هَاتُوا,فَالُوا,8,2,11
وضع,وَضَعَتْهَا,فَعَلَتْ,3,5,11
وفى,تُوَفَّى,تُفَعَّل,4,4,11
يأس,تَيْأَسُوا,تَفْعَل,4,5,11
أبو,أَبُوهُمْ,فَعل,4,4,10
أرى,أَرَى,فَعَل,10,1,10
أري,أَرَيْنَاكَ,فَعَلْنَا,4,3,10
أطع,أَطَعْتُمُوهُمْ,فَعَل,4,3,10
ألم,تَأْلَمُونَ,تَفْعَلُونَ,6,2,10
ألو,يَأْلُونَكُمْ,يَفْعُونَ,6,2,10
ؤذن,يُؤْذَنَ,يُفْعَل,4,3,10
ؤذو,تُؤْذُونَنِي,تُفْعُل,7,2,10
إفك,إِفْكٌ,فِعْلٍ,4,4,10
ارك,بَارَكْنَا,فَعَلْنَا,10,1,10
بحر,الْبَحْرَيْنِ,فَعْلَان,8,2,10
برج,بُرُوجَاً,فُعُول,4,4,10
تزر,تَزِرُ,فَعل,10,1,10
ثبر,ثُبُورَاً,فُعُول,8,2,10
جبي,يَجْتَبِي,افْتَعَل,4,3,10
جثم,جَاثِمِينَ,فَاعِل,10,1,10
جزى,يُجْزَى,يُفْعَل,6,2,10
حسس,تَحُسُّونَهُمْ,تَفُعُّونَ,6,3,10
حظظ,حَظَّاً,فَعَّ,6,3,10
خان,يَخْتَانُونَ,افْتَعَل,4,3,10
خذا,خُذُوا,فُعُول,10,1,10
خزو,تُخْزُونِ,تُفْعُل,10,1,10
خسف,يَخْسِفَ,يَفْعِل,6,3,10
خطيا,خَطَايَاكُمْ,فَفَاعَل,4,3,10
خوي,خَاوِيَةٌ,فَاعِلَة,6,3,10
ذرن,ذَرُونِي,فَعُول,4,3,10
ذرو,تَذْرُوهُ,تَفْعُل,4,3,10
ران,أَرَانِي,أَفَعُل,10,1,10
رضى,تَرْضَى,تَفْعَل,4,3,10
رني,تَرَانِي,تَفَاعِل,10,1,10
رهب,تُرْهِبُونَ,تُفْعِل,3,4,10
زني,الزَّانِيَةُ,فَاعِلَة,3,4,10
سدس,السُّدُسُ,فُعُل,6,2,10
سرق,يَسْرِقْنَ,يَفْعِل,3,5,10
سعا,سَعَوْا,فَعَوْل,6,2,10
سلام,السَّلَامِ,فَفَعَل,6,3,10
شئ,شِئْتُمْ,فِل,10,1,10
شئن,شِئْنَا,فِعْل,10,1,10
شرح,شَرَحَ,فَعَل,4,4,10
شرع,شَرَعَ,فَعَل,2,5,10
شور,نُشُورَاً,نُفعِل,6,2,10
عرش,يَعْرِشُونَ,يَفْعِلُونَ,6,2,10
عها,وُسْعَهَا,فَعَل,10,1,10
فرغ,أَفْرِغْ,أَفْعِلْ,4,4,10
فور,نُفُورَاً,نُفعِل,8,2,10
كمل,كَامِلَةً,فَاعِلَة,3,4,10
كنز,تَكْنِزُونَ,تَفْعِلُونَ,5,2,10
لتم,سَأَلْتُمُوهُ,أَفْعُل,4,3,10
لخز,الْخِزْيَ,إِفْعِلْ,4,3,10
لطف,اللَّطِيفُ,فَعِيل,4,3,10
لوو,يَلْوُونَ,يَفْعُونَ,4,3,10
ملم,مَلُومَاً,فَعُول,4,3,10
منب,مُنِيبِينَ,فُعِيل,4,4,10
منر,الْمُنِيرِ,فُعِيل,4,3,10
نجى,النَّجْوَى,فَعْوَل,8,2,10
نخذ,نَتَّخِذَهُ,افْتَعَل,6,2,10
نشو,أَنْشَأَكُمْ,أَفْعَاكُمْ,10,1,10
نهى,النُّهَى,فُعل,4,3,10
هوا,نُهُوا,نُفعِل,10,1,10
هوى,الْهَوَى,فَعَل,8,2,10
وثق,مَوْثِقَاً,مَفْعِل,4,4,10
وفي,أَوْفَى,أَفْعَى,3,4,10
وقر,وَقْرَاً,فَعْل,8,2,10
ولج,يُولِجُ,يُفعِل,8,2,10
وهب,الْوَهَّابُ,فَعَّال,4,4,10
يرض,يُرْضُونَكُمْ,فُعْل,6,2,10
يمت,يَمُوتُ,فَعُول,10,1,10
أبئ,أُنَبِّئُكُمْ,فُنَعِّل,9,1,9
أفك,يَأْفِكُونَ,يَفْعِلُونَ,6,3,9
أمد,أَمَدَاً,فَعَل,6,2,9
إبلس,إِبْلِيسَ,فِعْلِيل,8,2,9
إذ,إِذِ,فِل,9,1,9
إسم,اسْمَ,افْتَعَل,9,1,9
انس,آنَسْتُ,أَفَعَل,6,3,9
ايت,آيَتُكَ,أَفَعَل,6,2,9
بدي,يُبْدِينَ,يُفْعِي,6,3,9
برد,بَرْدَاً,فَعْل,4,4,9
برز,بَرَزُوا,فَعَلُوا,4,3,9
بهت,بُهْتَانَاً,فُعْلَان,8,2,9
تبئ,تُنَبِّئُونَهُ,فُنَعِّل,6,2,9
تبر,تَتْبِيرَاً,تَفْعِيلَ,4,4,9
تسؤ,تَسُؤْهُمْ,فَعل,6,2,9
تسك,تُمْسِكُوهُنَّ,فُمْعِل,4,3,9
تضع,تَضَعُ,فَعَل,4,3,9
تمم,أَتِمُّوا,أَفِعُّ,2,5,9
تني,تَأْتُونِي,فَأْتُوعِل,6,2,9
تهن,تَهِنُوا,فَعِلُوا,9,1,9
ثيم,أَثِيمٍ,أَفعِل,5,3,9
جءو,جَاءُوكُمْ,فَأَعل,9,1,9
حاقة,الْحَاقَّةُ,فَفَعَّل,9,1,9
حبس,تَحْبِسُونَهُمَا,تَفْعِلُونَ,6,2,9
حجت,حُجَّتَهُمْ,فُعَّل,3,3,9
حطو,يُحِيطُونَ,يُفِيعُل,6,2,9
حلال,حَلَالَاً,فَفَعَل,8,2,9
حله,حَوْلَهَا,فَوْعَل,9,1,9
خزن,خَزَنَتُهَا,فَعَل,9,1,9
خطف,الْخَطْفَةَ,فَعْلَة,3,4,9
خوض,الْخَائِضِينَ,فَائِل,3,4,9
ذبك,كَذَّبُوكَ,فَّعُول,9,1,9
ذقو,يَذُوقُونَ,يَفُولُونَ,6,2,9
راو,وَرَاءَكُمْ,فَعَاكُمْ,4,3,9
رمو,يَرْمُونَ,يَفْعُونَ,9,1,9
سعى,تَسْعَى,تَفْعَل,6,2,9
سنا,بَأْسَنَا,فَعَل,8,2,9
سوة,أُسْوَةٌ,أُفْعَل,9,1,9
سوم,مُسَوَّمَةً,مُفَعَّلَة,4,3,9
صام,الصِّيَامَ,فِيعَل,2,5,9
صدع,يَصَّدَّعُونَ,يَفَّعَّل,4,3,9
صدف,يَصْدِفُونَ,يَفْعِلُونَ,9,1,9
صرر,يُصِرُّوا,يُفِعُّ,3,4,9
صوت,أَصْوَاتَكُمْ,أَفْعَال,2,5,9
طرن,فَطَرَنِي,فَعَلِي,9,1,9
طغو,تَطْغَوْا,تَفْعَل,9,1,9
طمع,يَطْمَعُونَ,يَفْعَلُونَ,3,4,9
طول,طَوِيلَاً,فَعِيل,4,4,9
عبر,تَعْبُرُونَ,تَفْعُلُونَ,4,3,9
عتذر,تَعْتَذِرُوا,تَفْعَلِل,9,1,9
عصم,يَعْصِمُكَ,يَفْعِل,3,4,9
عمد,مُتَعَمِّدَاً,مُتَفَعِّل,4,3,9
غمر,غَمْرَةٍ,فَعْلَة,4,3,9
غمم,الْغَمِّ,فَعِّ,6,3,9
غيظ,الْغَيْظِ,فَعْل,4,4,9
فتي,يُفْتِيكُمْ,يُفْعِي,6,2,9
