root,count,first_word,first_word_plain,first_segment,sample_location,wazn,confidence,other_examples
شتر,20,اشْتَرَوْا,اشتروا,اشْتَرَ,2:16:3,افعل,0.925,تَشْتَرُوا (2:41) | لِيَشْتَرُوا (2:79)
صلي,20,مُصَلَّىً,مصلى,مُصَلَّىً,2:125:11,مفعل,1.000,نُصْلِيهِ (4:30) | نُصْلِيهِمْ (4:56)
فحش,20,وَالْفَحْشَاءِ,والفحشاء,فَحْشَاءِ,2:169:4,فعلاء,1.000,بِالْفَحْشَاءِ (2:268) | فَاحِشَةً (3:135)
نخل,20,نَخِيلٍ,نخيل,نَخِيلٍ,2:266:8,فعيل,1.000,النَّخْلِ (6:99) | وَالنَّخْلَ (6:141)
نشر,20,مَنْشُورَاً,منشورا,مَنْشُورَ,17:13:13,مفعول,1.000,يَنْشُرْ (18:16) | يُنْشِرُونَ (21:21)
يوح,20,يُوحَى,يوحى,يُوحَى,6:50:20,فعلى,1.000,يُوحَ (6:93) | يُوحِي (6:112)
ءءن,19,أَئِنَّكُمْ,أئنكم,أَئِنَّ,6:19:19,فعل,1.000,أَإِنَّكَ (12:90) | أَإِنَّا (13:5)
ءشد,19,أَشَدَّ,أشد,أَشَدَّ,2:200:9,فعل,1.000,وَأَشَدَّ (4:66) | أَشَدَّ (4:77)
ءوح,19,وَأُوحِيَ,وأوحي,أُوحِ,6:19:11,فعل,0.900,أُوحِيَ (6:93) | أُوحِيَ (6:106)
بطن,19,بُطُونِهِمْ,بطونهم,بُطُونِ,2:174:17,فعول,1.000,بُطُونِهِمْ (4:10) | وَبَاطِنَهُ (6:120)
بلد,19,بَلَدَاً,بلدا,بَلَدَ,2:126:7,فعل,1.000,الْبِلَادِ (3:196) | لِبَلَدٍ (7:57)
حذر,19,حَذَرَ,حذر,حَذَرَ,2:19:15,فعل,1.000,فَاحْذَرُوهُ (2:235) | حَذَرَ (2:243)
خزي,19,خِزْيٌ,خزي,خِزْيٌ,2:85:35,فعل,1.000,خِزْيٌ (2:114) | أَخْزَيْتَهُ (3:192)
دعء,19,دُعَاءً,دعاء,دُعَاءً,2:171:11,فعال,0.925,الدُّعَاءِ (3:38) | دُعَاءُ (13:14)
ذلل,19,الذِّلَّةُ,الذلة,ذِلَّ,2:61:39,فعل,0.973,ذَلُولٌ (2:71) | وَتُذِلُّ (3:26)
ربو,19,بِرَبْوَةٍ,بربوة,رَبْوَ,2:265:13,فعل,1.000,الرِّبَا (2:275) | الرِّبَا (2:276)
رشد,19,يَرْشُدُونَ,يرشدون,رْشُدُ,2:186:17,فعل,0.920,الرُّشْدُ (2:256) | رُشْدَاً (4:6)
سعر,19,سَعِيرَاً,سعيرا,سَعِيرَ,4:10:13,فعيل,1.000,سَعِيرَاً (4:55) | سَعِيرَاً (17:97)
سقي,19,اسْتَسْقَى,استسقى,اسْتَسْقَى,2:60:2,استفعل,1.000,تَسْقِي (2:71) | اسْتَسْقَاهُ (7:160)
صنع,19,يَصْنَعُونَ,يصنعون,صْنَعُ,5:14:25,فعل,0.920,يَصْنَعُونَ (5:63) | يَصْنَعُ (7:137)
طلع,19,لِيُطْلِعَكُمْ,ليطلعكم,طْلِعَ,3:179:18,فعل,1.000,تَطَّلِعُ (5:13) | طَلْعِهَا (6:99)
طور,19,الطُّورَ,الطور,طُورَ,2:63:6,فعل,1.000,الطُّورَ (2:93) | الطُّورَ (4:154)
عصي,19,وَعَصَيْنَا,وعصينا,عَصَيْ,2:93:14,فعل,1.000,وَعَصَيْتُمْ (3:152) | يَعْصِ (4:14)
فري,19,افْتَرَى,افترى,افْتَرَى,3:94:2,افتعل,0.826,يُكْفَرُوهُ (3:115) | افْتَرَى (4:48)
كتم,19,تَكْتُمُونَ,تكتمون,كْتُمُ,2:33:22,فعل,0.920,وَتَكْتُمُوا (2:42) | تَكْتُمُونَ (2:72)
كشف,19,كَاشِفَ,كاشف,كَاشِفَ,6:17:6,فاعل,1.000,فَيَكْشِفُ (6:41) | كَشَفْتَ (7:134)
وسع,19,وَاسِعٌ,واسع,وَاسِعٌ,2:115:11,فاعل,1.000,وُسْعَهَا (2:233) | الْمُوسِعِ (2:236)
بوء,18,وَبَاءُوا,وباءوا,بَاءُ,2:61:41,فعل,1.000,فَبَاءُوا (2:90) | وَبَاءُوا (3:112)
بيع,18,بَيْعٌ,بيع,بَيْعٌ,2:254:13,فعل,1.000,الْبَيْعُ (2:275) | الْبَيْعَ (2:275)
تمم,18,وَلِأُتِمَّ,ولأتم,أُتِمَّ,2:150:27,افعل,1.000,أَتِمُّوا (2:187) | وَأَتِمُّوا (2:196)
حصن,18,وَالْمُحْصَنَاتُ,والمحصنات,مُحْصَنَ,4:24:1,مفعل,1.000,مُحْصِنِينَ (4:24) | الْمُحْصَنَاتِ (4:25)
ذبو,18,كَذَّبُوكَ,كذبوك,كَذَّبُو,3:184:2,فعل,0.900,كَذَّبُوكَ (6:147) | فَكَذَّبُوهُ (7:64)
رءس,18,رُءُوسَكُمْ,رءوسكم,رُءُوسَ,2:196:13,فعول,1.000,رَأْسِهِ (2:196) | رُءُوسُ (2:279)
سير,18,وَلِلسَّيَّارَةِ,وللسيارة,سَّيَّارَ,5:96:8,فعال,1.000,يُسَيِّرُكُمْ (10:22) | السَّيَّارَةِ (12:10)
شيط,18,شَيَاطِينِهِمْ,شياطينهم,شَيَاطِينِ,2:14:10,فعال,0.897,الشَّيَاطِينُ (2:102) | الشَّيَاطِينَ (2:102)
غرب,18,وَالْمَغْرِبُ,والمغرب,مَغْرِبُ,2:115:3,مفعل,1.000,وَالْمَغْرِبُ (2:142) | وَالْمَغْرِبِ (2:177)
نكح,18,تَنْكِحُوا,تنكحوا,نْكِحُ,2:221:2,فعل,0.920,تُنْكِحُوا (2:221) | تَنْكِحَ (2:230)
ءوف,17,وَأَوْفُوا,وأوفوا,أَوْفُ,2:40:8,فعل,0.900,أُوفِ (2:40) | أَوْفَى (3:76)
تبر,17,تَبَرُّوا,تبروا,تَبَرُّ,2:224:7,فعل,1.000,تَبَارَكَ (7:54) | مُتَبَّرٌ (7:139)
خطء,17,خَطِيئَتُهُ,خطيئته,خَطِيئَ,2:81:7,فعيل,1.000,أَخْطَأْنَا (2:286) | خَطَأً (4:92)
ربص,17,تَرَبُّصُ,تربص,رَبُّصُ,2:226:5,فعل,1.000,يَتَرَبَّصْنَ (2:228) | يَتَرَبَّصْنَ (2:234)
زعم,17,يَزْعُمُونَ,يزعمون,زْعُمُ,4:60:5,فعل,0.920,تَزْعُمُونَ (6:22) | زَعَمْتُمْ (6:94)
شرق,17,الْمَشْرِقُ,المشرق,مَشْرِقُ,2:115:2,مفعل,1.000,الْمَشْرِقُ (2:142) | الْمَشْرِقِ (2:177)
طوف,17,يَطَّوَّفَ,يطوف,يَطَّوَّفَ,2:158:16,فعل,1.000,الطُّوفَانَ (7:133) | لَطِيفٌ (12:100)
غرر,17,وَغَرَّهُمْ,وغرهم,غَرَّ,3:24:10,فعل,0.973,الْغُرُورِ (3:185) | غُرُورَاً (4:120)
فقه,17,يَفْقَهُونَ,يفقهون,فْقَهُ,4:78:35,فعل,0.920,يَفْقَهُونَ (6:65) | يَفْقَهُونَ (6:98)
فكر,17,تَتَفَكَّرُونَ,تتفكرون,تَفَكَّرُ,2:219:26,فعل,1.000,تَتَفَكَّرُونَ (2:266) | وَيَتَفَكَّرُونَ (3:191)
قاء,17,لِقَاءَ,لقاء,قَاءَ,6:130:12,فعل,0.900,لِقَاءَ (7:51) | وَلِقَاءِ (7:147)
منع,17,مَنَعَ,منع,مَنَعَ,2:114:4,فعل,1.000,وَنَمْنَعْكُمْ (4:141) | مَنَعَكَ (7:12)
نزع,17,وَتَنْزِعُ,وتنزع,نْزِعُ,3:26:9,فعل,0.920,وَتَنَازَعْتُمْ (3:152) | تَنَازَعْتُمْ (4:59)
نفخ,17,فَأَنْفُخُ,فأنفخ,أَنْفُخُ,3:49:18,افعل,1.000,فَتَنْفُخُ (5:110) | يُنْفَخُ (6:73)
وتى,17,الْمَوْتَى,الموتى,مَوْتَى,2:73:7,مفعل,1.000,الْمَوْتَى (2:260) | الْمَوْتَى (3:49)
وزر,17,أَوْزَارَهُمْ,أوزارهم,أَوْزَارَ,6:31:20,افعال,1.000,وَازِرَةٌ (6:164) | وِزْرَ (6:164)
ءيد,16,وَأَيَّدْنَاهُ,وأيدناه,أَيَّدْ,2:87:14,فعل,1.000,وَأَيَّدْنَاهُ (2:253) | يَئُودُهُ (2:255)
بلو,16,ابْتَلَى,ابتلى,ابْتَلَى,2:124:2,افتعل,0.826,مُبْتَلِيكُمْ (2:249) | لِيَبْلُوَكُمْ (5:48)
توي,16,يَسْتَوِي,يستوي,سْتَوِي,4:95:2,فعل,0.970,يَسْتَوِي (5:100) | يَسْتَوِي (6:50)
ثبت,16,وَثَبِّتْ,وثبت,ثَبِّتْ,2:250:10,فعل,1.000,وَتَثْبِيتَاً (2:265) | وَثَبِّتْ (3:147)
جهر,16,جَهْرَةً,جهرة,جَهْرَ,2:55:10,فعل,1.000,الْجَهْرَ (4:148) | جَهْرَةً (4:153)
حبط,16,حَبِطَتْ,حبطت,حَبِطَ,2:217:47,فعل,1.000,حَبِطَتْ (3:22) | حَبِطَ (5:5)
حدد,16,حُدُودُ,حدود,حُدُودُ,2:187:55,فعول,1.000,حُدُودَ (2:229) | حُدُودُ (2:229)
خبث,16,الْخَبِيثَ,الخبيث,خَبِيثَ,2:267:16,فعيل,1.000,الْخَبِيثَ (3:179) | الْخَبِيثَ (4:2)
ختلف,16,يَخْتَلِفُونَ,يختلفون,خْتَلِفُ,2:113:31,فعلل,0.697,تَخْتَلِفُونَ (3:55) | تَخْتَلِفُونَ (5:48)
خشع,16,الْخَاشِعِينَ,الخاشعين,خَاشِعِ,2:45:8,فاعل,1.000,خَاشِعِينَ (3:199) | خُشُوعَاً (17:109)
زول,16,يَزَالُونَ,يزالون,زَالُ,2:217:30,فعل,1.000,يَزَالُ (9:110) | فَزَيَّلْنَا (10:28)
لبب,16,الْأَلْبَابِ,الألباب,أَلْبَابِ,2:179:6,افعال,1.000,الْأَلْبَابِ (2:197) | الْأَلْبَابِ (2:269)
لعب,16,لَعِبٌ,لعب,لَعِبٌ,6:32:5,فعل,1.000,يَلْعَبُونَ (6:91) | يَلْعَبُونَ (7:98)
نته,16,انْتَهَوْا,انتهوا,انْتَهَ,2:192:2,افعل,0.925,انْتَهَوْا (2:193) | انْتَهُوا (4:171)
وعظ,16,وَمَوْعِظَةً,وموعظة,مَوْعِظَ,2:66:8,مفعل,1.000,يُوعَظُ (2:232) | مَوْعِظَةٌ (2:275)
ءيو,15,وَإِيَّاكُمْ,وإياكم,إِيَّاكُمْ,4:131:15,فعل,1.000,وَإِيَّاهُمْ (6:151) | آوَوْا (8:72)
بغء,15,ابْتِغَاءَ,ابتغاء,ابْتِغَاءَ,2:207:6,افتعال,0.900,ابْتِغَاءَ (2:265) | ابْتِغَاءَ (2:272)
حرج,15,حَرَجَاً,حرجا,حَرَجَ,4:65:15,فعل,1.000,حَرَجٍ (5:6) | حَرَجَاً (6:125)
حوج,15,لِيُحَاجُّوكُمْ,ليحاجوكم,حَاجُّو,2:76:18,فاعل,1.000,أَتُحَاجُّونَنَا (2:139) | حَاجَّ (2:258)
شكك,15,شَكٍّ,شك,شَكٍّ,4:157:22,فعل,0.973,شَكٍّ (10:94) | شَكٍّ (10:104)
صيح,15,نُصْحِي,نصحي,صْحِي,11:34:3,فعل,0.990,الصَّيْحَةُ (11:67) | الصَّيْحَةُ (11:94)
ضيع,15,لِيُضِيعَ,ليضيع,يُضِيعَ,2:143:39,فعيل,0.935,يُضِيعُ (3:171) | أُضِيعُ (3:195)
عصو,15,بِعَصَاكَ,بعصاك,عَصَا,2:60:7,فعل,1.000,عَصَاهُ (7:107) | عَصَاكَ (7:117)
علن,15,يُعْلِنُونَ,يعلنون,عْلِنُ,2:77:9,فعل,0.920,فَعَلْنَ (2:234) | فَعَلْنَ (2:240)
عمي,15,عُمْيٌ,عمي,عُمْيٌ,2:18:3,فعل,1.000,عُمْيٌ (2:171) | عَمِيَ (6:104)
غوي,15,الْغَيِّ,الغي,غَيِّ,2:256:9,فعل,0.998,أَغْوَيْتَنِي (7:16) | الْغَيِّ (7:146)
قءم,15,قَائِمَاً,قائما,قَائِمَ,3:18:11,فاعل,0.925,قَائِمٌ (3:39) | قَائِمَاً (3:75)
قلت,15,وَقَالَتِ,وقالت,قَالَتِ,2:113:1,فاعل,0.925,قَالَتِ (3:35) | قَالَتِ (3:42)
مسح,15,الْمَسِيحُ,المسيح,مَسِيحُ,3:45:11,فعيل,1.000,فَامْسَحُوا (4:43) | الْمَسِيحَ (4:157)
مهد,15,الْمِهَادُ,المهاد,مِهَادُ,2:206:12,فعال,1.000,الْمِهَادُ (3:12) | الْمَهْدِ (3:46)
وجد,15,تَجِدُوهُ,تجدوه,تَجِدُو,2:110:10,تفعل,1.000,لَوَجَدُوا (4:64) | لَوَجَدُوا (4:82)
ءعم,14,الْأَعْمَى,الأعمى,أَعْمَى,6:50:25,فعلى,1.000,كَالْأَعْمَى (11:24) | الْأَعْمَى (13:16)
ءين,14,الْآنَ,الآن,ءَانَ,2:71:18,فعل,1.000,فَالْآنَ (2:187) | آنَاءَ (3:113)
بدء,14,بَدَأَكُمْ,بدأكم,بَدَأَ,7:29:15,فعل,1.000,يَبْدَأُ (10:4) | يَبْدَأُ (10:34)
بيو,14,بُيُوتِكُمْ,بيوتكم,بُيُو,3:49:37,فعل,1.000,بُيُوتِكُمْ (3:154) | بُيُوتَكُمْ (10:87)
تين,14,يَأْتِيَنَّكُمْ,يأتينكم,أْتِيَنَّ,2:38:6,فعل,0.911,يَأْتِينَكَ (2:260) | أَتَيْنَ (4:25)
ثمن,14,ثَمَنَاً,ثمنا,ثَمَنَ,2:41:15,فعل,1.000,ثَمَنَاً (2:79) | ثَمَنَاً (2:174)
جيب,14,يَسْتَجِيبُ,يستجيب,سْتَجِيبُ,6:36:2,فعل,1.000,يَسْتَجِيبُوا (11:14) | يَسْتَجِيبُونَ (13:14)
حرث,14,الْحَرْثَ,الحرث,حَرْثَ,2:71:12,فعل,1.000,الْحَرْثَ (2:205) | حَرْثٌ (2:223)
حيق,14,اسْتَحَقَّا,استحقا,اسْتَحَقَّا,5:107:5,استفعل,0.941,فَحَاقَ (6:10) | وَحَاقَ (11:8)
دبب,14,دَابَّةٍ,دابة,دَابَّ,2:164:33,فاعل,1.000,دَابَّةٍ (6:38) | دَابَّةٍ (11:6)
ردي,14,يَرُدُّوكُمْ,يردوكم,رُدُّو,2:217:33,فعل,1.000,أَرَادَا (2:233) | يَرُدُّوكُمْ (3:100)
رسو,14,مُرْسَاهَا,مرساها,مُرْسَا,7:187:5,مفعل,1.000,وَمُرْسَاهَا (11:41) | رَوَاسِيَ (13:3)
زرع,14,وَالزَّرْعَ,والزرع,زَرْعَ,6:141:9,فعل,1.000,تَزْرَعُونَ (12:47) | وَزَرْعٌ (13:4)
سطر,14,أَسَاطِيرُ,أساطير,أَسَاطِيرُ,6:25:31,افاعيل,0.983,أَسَاطِيرُ (8:31) | أَسَاطِيرُ (16:24)
على,14,وَتَعَالَى,وتعالى,تَعَالَى,6:100:13,فاعل,1.000,فَتَعَالَى (7:190) | وَتَعَالَى (10:18)
غلل,14,يَغُلَّ,يغل,غُلَّ,3:161:5,فعل,0.973,يَغْلُلْ (3:161) | غَلَّ (3:161)
نبي,14,وَنَبِيَّاً,ونبيا,نَبِيَّ,3:39:18,فعل,1.000,النَّبِيَّ (7:157) | النَّبِيَّ (9:61)
نسي,14,فَنَسِيَهُمْ,فنسيهم,نَسِيَ,9:67:15,فعل,1.000,وَنَسِيَ (18:57) | نَسْيَاً (19:23)
نفر,14,تَنْفِرُوا,تنفروا,نْفِرُ,9:39:2,فعل,0.920,تَنْفِرُوا (9:81) | لِيَنْفِرُوا (9:122)
نقم,14,انْتِقَامٍ,انتقام,انْتِقَامٍ,3:4:18,افتعال,1.000,تَنْقِمُونَ (5:59) | انْتِقَامٍ (5:95)
نيل,14,يَنَالُ,ينال,نَالُ,2:124:17,فعل,1.000,فَلَنُوَلِّيَنَّكَ (2:144) | تَنَالُوا (3:92)
ءمل,13,أَمْلِكُ,أملك,أَمْلِ,5:25:5,فعل,1.000,وَأُمْلِي (7:183) | أَمْلِكُ (7:188)
بغت,13,بَغْتَةً,بغتة,بَغْتَ,6:31:11,فعل,1.000,بَغْتَةً (6:44) | بَغْتَةً (6:47)
تقو,13,التَّقْوَى,التقوى,تَقْوَى,2:197:26,فعلى,1.000,لِلتَّقْوَى (2:237) | وَالتَّقْوَى (5:2)
جنت,13,جَنَّتَيْنِ,جنتين,جَنَّتَ,18:32:7,فعل,1.000,الْجَنَّتَيْنِ (18:33) | جَنَّتَهُ (18:35)
جور,13,وَالْجَارِ,والجار,جَارِ,4:36:13,فعل,1.000,جَارٌ (8:48) | مُتَجَاوِرَاتٌ (13:4)
حلف,13,يَحْلِفُونَ,يحلفون,حْلِفُ,4:62:10,فعل,0.920,حَلَفْتُمْ (5:89) | وَسَيَحْلِفُونَ (9:42)
خزن,13,خَزَائِنُ,خزائن,خَزَائِنُ,6:50:6,فعاءل,0.973,خَزَائِنُ (11:31) | خَزَائِنِ (12:55)
رءف,13,لَرَءُوفٌ,لرءوف,رَءُوفٌ,2:143:44,فعول,1.000,رَءُوفٌ (2:207) | رَءُوفٌ (3:30)
رجم,13,الرَّجِيمِ,الرجيم,رَجِيمِ,3:36:24,فعيل,1.000,لَرَجَمْنَاكَ (11:91) | رَجِيمٍ (15:17)
رجو,13,تَرْجُوهَا,ترجوها,رْجُو,17:28:8,فعل,1.000,يَرْجُو (18:110) | فُرُوجَهُمْ (24:30)
ركب,13,رُكْبَانَاً,ركبانا,رُكْبَانَ,2:239:5,فعلان,1.000,مُتَرَاكِبَاً (6:99) | وَالرَّكْبُ (8:42)
ركع,13,وَارْكَعُوا,واركعوا,رْكَعُ,2:43:5,فعل,0.920,الرَّاكِعِينَ (2:43) | وَالرُّكَّعِ (2:125)
سقر,13,مُسْتَقَرٌّ,مستقر,مُسْتَقَرٌّ,2:36:16,مفتعل,1.000,مُسْتَقَرٌّ (6:67) | فَمُسْتَقَرٌّ (6:98)
سور,13,بِسُورَةٍ,بسورة,سُورَ,2:23:10,فعل,1.000,سُورَةٌ (9:64) | سُورَةٌ (9:86)
صغر,13,صَغِيرَاً,صغيرا,صَغِيرَ,2:282:82,فعيل,1.000,صَغَارٌ (6:124) | الصَّاغِرِينَ (7:13)
صمم,13,صُمٌّ,صم,صُمٌّ,2:18:1,فعل,0.973,صُمٌّ (2:171) | وَصَمُّوا (5:71)
ضضل,13,فَضَّلْتُكُمْ,فضلتكم,ضَّلْ,2:47:9,فعل,0.752,فَضَّلْتُكُمْ (2:122) | فَضَّلْنَا (2:253)
طين,13,الطِّينِ,الطين,طِينِ,3:49:15,فعل,1.000,بِطَانَةً (3:118) | الطِّينِ (5:110)
غلظ,13,غَلِيظَ,غليظ,غَلِيظَ,3:159:10,فعيل,1.000,غَلِيظَاً (4:21) | غَلِيظَاً (4:154)
غلم,13,غُلَامٌ,غلام,غُلَامٌ,3:40:6,فعال,1.000,غُلَامٌ (12:19) | بِغُلَامٍ (15:53)
فءد,13,أَفْئِدَتَهُمْ,أفئدتهم,أَفْئِدَ,6:110:2,افعل,1.000,أَفْئِدَةُ (6:113) | أَفْئِدَةً (14:37)
فتي,13,فَأْتُوهُنَّ,فأتوهن,فَأْتُو,2:222:17,فاعل,1.000,يُفْتِيكُمْ (4:127) | يُفْتِيكُمْ (4:176)
فسي,13,نَفْسِي,نفسي,فْسِي,5:25:7,فعل,0.900,نَفْسِي (5:116) | لِنَفْسِي (7:188)
قرض,13,يُقْرِضُ,يقرض,قْرِضُ,2:245:4,فعل,0.920,قَرْضَاً (2:245) | وَأَقْرَضْتُمُ (5:12)
لبس,13,تَلْبِسُوا,تلبسوا,لْبِسُ,2:42:2,فعل,0.920,لِبَاسٌ (2:187) | تَلْبِسُونَ (3:71)
نجم,13,النُّجُومَ,النجوم,نُجُومَ,6:97:5,فعول,1.000,وَالنُّجُومَ (7:54) | وَالنُّجُومُ (16:12)
نون,13,وَيُمَنِّيهِمْ,ويمنيهم,مَنِّي,4:120:2,مفعل,1.000,سِنِينَ (12:42) | سِنِينَ (12:47)
وقر,13,فَقِيرٌ,فقير,قِيرٌ,3:181:9,فعل,0.990,فَقِيرَاً (4:6) | فَقِيرَاً (4:135)
وقع,13,يُوقِعَ,يوقع,يُوقِعَ,5:91:5,يفعل,0.957,فَوَقَعَ (7:118) | وَاقِعٌ (7:171)
ءدن,12,أَدْنَى,أدنى,أَدْنَى,2:61:27,فعلى,1.000,وَأَدْنَى (2:282) | أَدْنَى (4:3)
اخو,12,أَخٌ,أخ,أَخٌ,4:12:58,,1.000,أُخْتٌ (4:12) | الْأَخِ (4:23)
بخل,12,يَبْخَلُونَ,يبخلون,بْخَلُ,3:180:4,فعل,0.920,بَخِلُوا (3:180) | يَبْخَلُونَ (4:37)
بكر,12,بِكْرٌ,بكر,بِكْرٌ,2:68:17,فعل,1.000,وَالْإِبْكَارِ (3:41) | بُكْرَةً (19:11)
بيض,12,الْأَبْيَضُ,الأبيض,أَبْيَضُ,2:187:37,افعل,1.000,تَبْيَضُّ (3:106) | ابْيَضَّتْ (3:107)
ثور,12,آثَارِهِمْ,آثارهم,ءَاثَارِ,5:46:3,افعال,1.000,آثَارِهِمْ (18:6) | آثَارِهِمَا (18:64)
جحد,12,يَجْحَدُونَ,يجحدون,جْحَدُ,6:33:14,فعل,0.920,يَجْحَدُونَ (7:51) | جَحَدُوا (11:59)
جلد,12,جُلُودُهُمْ,جلودهم,جُلُودُ,4:56:10,فعول,1.000,جُلُودَاً (4:56) | جُلُودِ (16:80)
حنف,12,حَنِيفَاً,حنيفا,حَنِيفَ,2:135:11,فعيل,1.000,حَنِيفَاً (3:67) | حَنِيفَاً (3:95)
خذو,12,فَخُذُوهُمْ,فخذوهم,خُذُو,4:89:19,فعل,1.000,فَخُذُوهُمْ (4:91) | فَخُذُوهُ (5:41)
خرر,12,وَخَرَّ,وخر,خَرَّ,7:143:30,فعل,0.973,وَخَرُّوا (12:100) | فَخَرَّ (16:26)
خصم,12,الْخِصَامِ,الخصام,خِصَامِ,2:204:17,فعال,1.000,خَصِيمَاً (4:105) | خَصِيمٌ (16:4)
خطب,12,خِطْبَةِ,خطبة,خِطْبَ,2:235:8,فعل,1.000,تُخَاطِبْنِي (11:37) | خَطْبُكُنَّ (12:51)
خفف,12,يُخَفَّفُ,يخفف,خَفَّفُ,2:86:8,فعل,1.000,يُخَفَّفُ (2:162) | تَخْفِيفٌ (2:178)
رهب,12,فَارْهَبُونِ,فارهبون,رْهَبُ,2:40:13,فعل,0.920,وَرُهْبَانَاً (5:82) | وَاسْتَرْهَبُوهُمْ (7:116)
سفر,12,سَفَرٍ,سفر,سَفَرٍ,2:184:9,فعل,1.000,سَفَرٍ (2:185) | سَفَرٍ (2:283)
سلك,12,نَسْلُكُهُ,نسلكه,سْلُكُ,15:12:2,فعل,0.920,فَاسْلُكِي (16:69) | وَسَلَكَ (20:53)
سود,12,الْأَسْوَدِ,الأسود,أَسْوَدِ,2:187:40,افعل,1.000,وَتَسْوَدُّ (3:106) | اسْوَدَّتْ (3:106)
شمل,12,اشْتَمَلَتْ,اشتملت,اشْتَمَلَ,6:143:15,افتعل,0.757,اشْتَمَلَتْ (6:144) | شَمَائِلِهِمْ (7:17)
شيع,12,شِيَعَاً,شيعا,شِيَعَ,6:65:17,فعل,1.000,شِيَعَاً (6:159) | شِيَعِ (15:10)
ضيق,12,ضَيِّقَاً,ضيقا,ضَيِّقَ,6:125:15,فعل,1.000,وَضَاقَتْ (9:25) | ضَاقَتْ (9:118)
طمءن,12,لِيَطْمَئِنَّ,ليطمئن,طْمَئِنَّ,2:260:15,فعلل,0.802,وَلِتَطْمَئِنَّ (3:126) | وَتَطْمَئِنَّ (5:113)
عدن,12,عَدْنٍ,عدن,عَدْنٍ,9:72:16,فعل,1.000,عَدْنٍ (13:23) | عَدْنٍ (16:31)
عسر,12,الْعُسْرَ,العسر,عُسْرَ,2:185:35,فعل,1.000,عُسْرَةٍ (2:280) | الْعُسْرَةِ (9:117)
عصم,12,وَاعْتَصِمُوا,واعتصموا,اعْتَصِمُ,3:103:1,افتعل,0.757,وَاعْتَصَمُوا (4:146) | وَاعْتَصَمُوا (4:175)
غور,12,فَلَيُغَيِّرُنَّ,فليغيرن,لَيُغَيِّرُنَّ,4:119:8,يفعلن,0.699,أَغَيْرَ (6:14) | أَغَيْرَ (6:40)
فرح,12,يَفْرَحُوا,يفرحوا,فْرَحُ,3:120:8,فعل,0.920,يَفْرَحُونَ (3:188) | وَفَرِحُوا (10:22)
فكه,12,فَاكِهَةٌ,فاكهة,فَاكِهَ,36:57:3,فاعل,1.000,بِفَاكِهَةٍ (38:51) | فَاكِهَةٌ (43:73)
فمو,12,أَفْوَاهِهِمْ,أفواههم,أَفْوَاهِ,3:118:19,افعال,1.000,بِأَفْوَاهِهِمْ (3:167) | بِأَفْوَاهِهِمْ (5:41)
قنت,12,قَانِتُونَ,قانتون,قَانِتُ,2:116:14,فاعل,1.000,قَانِتِينَ (2:238) | وَالْقَانِتِينَ (3:17)
كنن,12,كُنَّ,كن,كُنَّ,2:228:17,فعل,0.973,أَكْنَنْتُمْ (2:235) | كُنَّ (4:11)
كونن,12,تَكُونَنَّ,تكونن,تَكُونَنَّ,2:147:5,تفعلل,0.738,تَكُونَنَّ (6:14) | تَكُونَنَّ (6:35)
مكن,12,مَكَّنَّا,مكنا,مَكَّن,12:21:16,فعل,1.000,مَكِينٌ (12:54) | مَكَّنَّا (12:56)
نجل,12,وَالْإِنْجِيلَ,والإنجيل,إِنْجِيلَ,3:3:11,فعيل,0.860,وَالْإِنْجِيلَ (3:48) | وَالْإِنْجِيلُ (3:65)
نطف,12,نُطْفَةٍ,نطفة,نُطْفَ,16:4:4,فعل,1.000,نُطْفَةٍ (18:37) | نُطْفَةٍ (22:5)
نطق,12,يَنْطِقُونَ,ينطقون,نْطِقُ,21:63:9,فعل,0.920,يَنْطِقُونَ (21:65) | يَنْطِقُ (23:62)
وهب,12,الْوَهَّابُ,الوهاب,وَهَّابُ,3:8:15,فعال,1.000,وَوَهَبْنَا (6:84) | وَوَهَبْنَا (19:50)
ءثر,11,آثَرَكَ,آثرك,ءَاثَرَ,12:91:4,فاعل,1.000,نُؤْثِرَكَ (20:72) | أَثَرِي (20:84)
ءضل,11,أَضَلَّ,أضل,أَضَلَّ,4:88:14,فعل,1.000,وَلَأُضِلَّنَّهُمْ (4:119) | وَأَضَلَّ (20:79)
ءعل,11,الْأَعْلَوْنَ,الأعلون,أَعْلَ,3:139:6,فعل,0.900,الْأَعْلَى (16:60) | الْأَعْلَى (20:68)
ءغن,11,أَغْنَى,أغنى,أَغْنَى,7:48:9,فعلى,1.000,أَغْنَتْ (11:101) | أَغْنَى (15:84)
امم,11,أُمَّهَاتُكُمْ,أمهاتكم,أُمَّهَ,4:23:3,فعلة,1.000,وَأُمَّهَاتُكُمُ (4:23) | وَأُمَّهَاتُ (4:23)
تقى,11,اتَّقَى,اتقى,اتَّقَى,2:189:19,افعل,1.000,اتَّقَى (2:203) | وَاتَّقَى (3:76)
جمل,11,الْجَمَلُ,الجمل,جَمَلُ,7:40:17,فعل,1.000,جَمِيلٌ (12:18) | جَمِيلٌ (12:83)
حرب,11,بِحَرْبٍ,بحرب,حَرْبٍ,2:279:5,فعل,1.000,الْمِحْرَابَ (3:37) | الْمِحْرَابِ (3:39)
