surface,plain,word_class,masaq_tag,lemma,root,wazn,aspect,case,role,source,agreement_with_masaq,confidence,first_seen_at,ambiguous
الْمُحْصَنَاتِ,المحصنات,ISM_MUARAB,NOUN_PASSIVE_PART,,محص,فعل,,ACCUSATIVE,OBJ,MASAQ:10324,Full,Certificate,4:25:8,
الْمُحْضَرِينَ,المحضرين,ISM_MUARAB,NOUN_PASSIVE_PART,,حضر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:50839,Full,Certificate,28:61:17,
الْمُخَلَّفُونَ,المخلفون,ISM_MUARAB,NOUN_PASSIVE_PART,,خلف,مفعل,,NOMINATIVE,AGNT,MASAQ:25445,Full,Certificate,9:81:2,
الْمُخْبِتِينَ,المخبتين,ISM_MUARAB,NOUN_ACTIVE_PART,,خبت,مفعل,,ACCUSATIVE,OBJ,MASAQ:43398,Full,Certificate,22:34:20,
الْمُخْرَجِينَ,المخرجين,ISM_MUARAB,NOUN_PASSIVE_PART,,خرج,مفعل,,GENITIVE,PREP_OBJ,MASAQ:48351,Full,Certificate,26:167:8,
الْمُخْسِرِينَ,المخسرين,ISM_MUARAB,NOUN_ACTIVE_PART,,خسر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:48424,Full,Certificate,26:181:6,
الْمُخْلَصِينَ,المخلصين,ISM_MUARAB,NOUN_ACTIVE_PART,,خلص,مفعل,,GENITIVE,ADJ,MASAQ:30544,Full,Certificate,12:24:19,
الْمُدَّثِّرُ,المدثر,ISM_MUARAB,NOUN_ACTIVE_PART,,دثر,مفعل,,ACCUSATIVE,APPOS,MASAQ:74642,Full,Certificate,74:1:2,
الْمُدْحَضِينَ,المدحضين,ISM_MUARAB,NOUN_PASSIVE_PART,,دحض,مفعل,,GENITIVE,PREP_OBJ,MASAQ:58378,Full,Certificate,37:141:4,
الْمُرْسَلُونَ,المرسلون,ISM_MUARAB,NOUN_PASSIVE_PART,,رسل,مفعل,,NOMINATIVE,APPOS,MASAQ:34089,Full,Certificate,15:57:5,
الْمُرْسَلِينَ,المرسلين,ISM_MUARAB,NOUN_PASSIVE_PART,,رسل,مفعل,,GENITIVE,PREP_OBJ,MASAQ:5119,Full,Certificate,2:252:9,
الْمُزَّمِّلُ,المزمل,ISM_MUARAB,NOUN_ACTIVE_PART,,زمل,مفعل,,ACCUSATIVE,APPOS,MASAQ:74442,Full,Certificate,73:1:2,
الْمُزْنِ,المزن,ISM_MUARAB,NOUN_CONCRETE,,مزن,فعل,,GENITIVE,PREP_OBJ,MASAQ:69475,Full,Certificate,56:69:4,
الْمُسَبِّحُونَ,المسبحون,ISM_MUARAB,NOUN_ACTIVE_PART,,سبح,مفعل,,NOMINATIVE,PART_COP_PRED,MASAQ:58493,Full,Certificate,37:166:3,
الْمُسَبِّحِينَ,المسبحين,ISM_MUARAB,NOUN_ACTIVE_PART,,سبح,مفعل,,GENITIVE,PREP_OBJ,MASAQ:58387,Full,Certificate,37:143:5,
الْمُسَحَّرِينَ,المسحرين,ISM_MUARAB,NOUN_PASSIVE_PART,,سحر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:48253,Full,Certificate,26:153:5,
الْمُسَخَّرِ,المسخر,ISM_MUARAB,NOUN_PASSIVE_PART,,سخر,مفعل,,GENITIVE,ADJ,MASAQ:2954,Full,Certificate,2:164:37,
الْمُسَوَّمَةِ,المسومة,ISM_MUARAB,NOUN_PASSIVE_PART,,سوم,مفعول,,GENITIVE,ADJ,MASAQ:6386,Full,Certificate,3:14:14,
الْمُسِيءُ,المسيء,ISM_MUARAB,NOUN_ACTIVE_PART,,سيء,مفعيل,,NOMINATIVE,CONJ_N,MASAQ:61316,Full,Certificate,40:58:10,
الْمُسْتَأْخِرِينَ,المستأخرين,ISM_MUARAB,NOUN_ACTIVE_PART,,ءخر,مستفعل,,ACCUSATIVE,OBJ,MASAQ:33863,Full,Certificate,15:24:7,
الْمُسْتَبِينَ,المستبين,ISM_MUARAB,NOUN_ACTIVE_PART,,مستب,فعلل,,ACCUSATIVE,ADJ,MASAQ:58282,Partial,Hypothesis,37:117:3,
الْمُسْتَضْعَفِينَ,المستضعفين,ISM_MUARAB,NOUN_PASSIVE_PART,,ضعف,مستفعل,,ACCUSATIVE,EXCP,MASAQ:11894,Full,Certificate,4:98:2,
الْمُسْتَعَانُ,المستعان,ISM_MUARAB,NOUN_PASSIVE_PART,,مستع,فعلل,,NOMINATIVE,PRED,MASAQ:30432,Full,Certificate,12:18:15,
الْمُسْتَقَرُّ,المستقر,UNKNOWN,NOUN_TIME_PLACE,,سقر,مفتعل,,NOMINATIVE,SUBJ_DELA,MASAQ:74943,Full,Certificate,75:12:4,
الْمُسْتَقِيمَ,المستقيم,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,ACCUSATIVE,ADJ,MASAQ:20,Full,Certificate,1:6:3,
الْمُسْتَقِيمِ,المستقيم,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,GENITIVE,ADJ,MASAQ:36653,Full,Certificate,17:35:7,
الْمُسْتَقْدِمِينَ,المستقدمين,ISM_MUARAB,NOUN_ACTIVE_PART,,قدم,مستفعل,,ACCUSATIVE,OBJ,MASAQ:33859,Full,Certificate,15:24:3,
الْمُسْتَكْبِرِينَ,المستكبرين,ISM_MUARAB,NOUN_ACTIVE_PART,,كبر,مستفعل,,ACCUSATIVE,OBJ,MASAQ:34581,Full,Certificate,16:23:13,
الْمُسْتَهْزِئِينَ,المستهزئين,ISM_MUARAB,NOUN_ACTIVE_PART,,هزء,مستفعل,,ACCUSATIVE,OBJ,MASAQ:34308,Full,Certificate,15:95:3,
الْمُسْرِفِينَ,المسرفين,ISM_MUARAB,NOUN_ACTIVE_PART,,سرف,مفعل,,ACCUSATIVE,OBJ,MASAQ:18772,Full,Certificate,6:141:31,
الْمُسْلِمُونَ,المسلمون,ISM_MUARAB,NOUN_ACTIVE_PART,,سلم,مفعل,,NOMINATIVE,SUBJ_DELA,MASAQ:74292,Full,Certificate,72:14:3,
الْمُسْلِمِينَ,المسلمين,ISM_MUARAB,NOUN_ACTIVE_PART,,سلم,مفعل,,GENITIVE,GEN_CONS,MASAQ:19276,Full,Certificate,6:163:8,
الْمُشْرِكَاتِ,المشركات,ISM_MUARAB,NOUN_ACTIVE_PART,,مشر,فعل,,ACCUSATIVE,OBJ,MASAQ:4248,Full,Certificate,2:221:3,
الْمُشْرِكُونَ,المشركون,ISM_MUARAB,NOUN_ACTIVE_PART,,مشر,فعل,,NOMINATIVE,SUBJ,MASAQ:24400,Full,Certificate,9:28:5,
الْمُشْرِكِينَ,المشركين,ISM_MUARAB,NOUN_ACTIVE_PART,,مشر,فعل,,GENITIVE,CONJ_N,MASAQ:1832,Full,Certificate,2:105:9,
الْمُصَدِّقِينَ,المصدقين,ISM_MUARAB,NOUN_ACTIVE_PART,,صدق,مفعل,,GENITIVE,PREP_OBJ,MASAQ:57957,Full,Certificate,37:52:4,
الْمُصَلِّينَ,المصلين,ISM_MUARAB,NOUN_ACTIVE_PART,,مصل,فعل,,ACCUSATIVE,EXCP,MASAQ:73796,Full,Certificate,70:22:2,
الْمُصَوِّرُ,المصور,ISM_MUARAB,NOUN_ACTIVE_PART,,مصر,فعول,,NOMINATIVE,PRED,MASAQ:71082,Full,Certificate,59:24:5,
الْمُصَيْطِرُونَ,المصيطرون,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,NOMINATIVE,PRED,MASAQ:68072,Full,Certificate,52:37:7,
الْمُصَّدِّقِينَ,المصدقين,ISM_MUARAB,NOUN_ACTIVE_PART,,صدق,مفعل,,ACCUSATIVE,SUBJ_COP_PART,MASAQ:69905,Full,Certificate,57:18:2,
الْمُصْطَفَيْنَ,المصطفين,ISM_MUARAB,NOUN_PASSIVE_PART,,مصطف,فعلل,,GENITIVE,PREP_OBJ,MASAQ:59020,Full,Certificate,38:47:4,
الْمُصْلِحِ,المصلح,ISM_MUARAB,NOUN_ACTIVE_PART,,صلح,مفعل,,GENITIVE,PREP_OBJ,MASAQ:4237,Full,Certificate,2:220:18,
الْمُصْلِحِينَ,المصلحين,ISM_MUARAB,NOUN_ACTIVE_PART,,صلح,مفعل,,GENITIVE,GEN_CONS,MASAQ:22136,Full,Certificate,7:170:10,
الْمُضِلِّينَ,المضلين,ISM_MUARAB,NOUN_ACTIVE_PART,,مضل,فعل,,GENITIVE,GEN_CONS,MASAQ:38561,Full,Certificate,18:51:12,
الْمُضْطَرَّ,المضطر,ISM_MUARAB,NOUN_PASSIVE_PART,,مضطر,فعلل,,ACCUSATIVE,OBJ,MASAQ:49457,Full,Certificate,27:62:3,
الْمُضْعِفُونَ,المضعفون,ISM_MUARAB,NOUN_ACTIVE_PART,,ضعف,مفعل,,NOMINATIVE,PRED,MASAQ:52760,Full,Certificate,30:39:22,
الْمُضْغَةَ,المضغة,ISM_MUARAB,NOUN_CONCRETE,,مضغ,فعل,,ACCUSATIVE,OBJ,MASAQ:44175,Full,Certificate,23:14:9,
الْمُطَهَّرُونَ,المطهرون,ISM_MUARAB,NOUN_PASSIVE_PART,,طهر,مفعل,,NOMINATIVE,AGNT,MASAQ:69522,Full,Certificate,56:79:4,
الْمُطَّهِّرِينَ,المطهرين,ISM_MUARAB,NOUN_ACTIVE_PART,,طهر,مفعل,,ACCUSATIVE,OBJ,MASAQ:25970,Full,Certificate,9:108:23,
الْمُطَّوِّعِينَ,المطوعين,ISM_MUARAB,NOUN_ACTIVE_PART,,مطع,فعول,,ACCUSATIVE,OBJ,MASAQ:25401,Full,Certificate,9:79:3,
الْمُطْمَئِنَّةُ,المطمئنة,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,NOMINATIVE,ADJ,MASAQ:76894,Full,Certificate,89:27:3,
الْمُعَذَّبِينَ,المعذبين,ISM_MUARAB,NOUN_PASSIVE_PART,,عذب,مفعل,,GENITIVE,PREP_OBJ,MASAQ:48603,Full,Certificate,26:213:9,
الْمُعَذِّرُونَ,المعذرون,ISM_MUARAB,NOUN_ACTIVE_PART,,عذر,مفعل,,NOMINATIVE,AGNT,MASAQ:25595,Partial,Hypothesis,9:90:2,
الْمُعَوِّقِينَ,المعوقين,ISM_MUARAB,NOUN_ACTIVE_PART,,معق,فعول,,ACCUSATIVE,OBJ,MASAQ:54292,Full,Certificate,33:18:4,
الْمُعْتَبِينَ,المعتبين,ISM_MUARAB,NOUN_PASSIVE_PART,,عتب,مفعل,,GENITIVE,PREP_OBJ,MASAQ:62001,Full,Certificate,41:24:11,
الْمُعْتَدُونَ,المعتدون,ISM_MUARAB,NOUN_ACTIVE_PART,,عتد,مفعل,,NOMINATIVE,PRED,MASAQ:24092,Full,Certificate,9:10:10,
الْمُعْتَدِينَ,المعتدين,ISM_MUARAB,NOUN_ACTIVE_PART,,عتد,مفعل,,ACCUSATIVE,OBJ,MASAQ:3561,Full,Certificate,2:190:13,
الْمُعْصِرَاتِ,المعصرات,ISM_MUARAB,NOUN_CONCRETE,,عصر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:75524,Full,Certificate,78:14:3,
الْمُغْرَقِينَ,المغرقين,ISM_MUARAB,NOUN_PASSIVE_PART,,غرق,مفعل,,GENITIVE,PREP_OBJ,MASAQ:28980,Full,Certificate,11:43:23,
الْمُفْتَرِينَ,المفترين,ISM_MUARAB,NOUN_ACTIVE_PART,,فتر,مفعل,,ACCUSATIVE,OBJ,MASAQ:21715,Full,Certificate,7:152:15,
الْمُفْسِدَ,المفسد,ISM_MUARAB,NOUN_ACTIVE_PART,,فسد,مفعل,,ACCUSATIVE,OBJ,MASAQ:4235,Full,Certificate,2:220:16,
الْمُفْسِدُونَ,المفسدون,ISM_MUARAB,NOUN_ACTIVE_PART,,فسد,مفعل,,NOMINATIVE,PRED,MASAQ:136,Full,Certificate,2:12:4,
الْمُفْسِدِينَ,المفسدين,ISM_MUARAB,NOUN_ACTIVE_PART,,فسد,مفعل,,ACCUSATIVE,OBJ,MASAQ:15049,Full,Certificate,5:64:47,
الْمُفْلِحُونَ,المفلحون,ISM_MUARAB,NOUN_ACTIVE_PART,,فلح,مفعل,,NOMINATIVE,PRED,MASAQ:65,Full,Certificate,2:5:8,
الْمُفْلِحِينَ,المفلحين,ISM_MUARAB,NOUN_ACTIVE_PART,,فلح,مفعل,,GENITIVE,PREP_OBJ,MASAQ:50902,Full,Certificate,28:67:11,
الْمُقَامَةِ,المقامة,UNKNOWN,NOUN_TIME_PLACE,,مقم,فعال,,GENITIVE,GEN_CONS,MASAQ:56723,Full,Certificate,35:35:4,
الْمُقَدَّسَةَ,المقدسة,ISM_MUARAB,NOUN_PASSIVE_PART,,قدس,مفعل,,ACCUSATIVE,ADJ,MASAQ:14067,Full,Certificate,5:21:4,
الْمُقَدَّسِ,المقدس,ISM_MUARAB,NOUN_PASSIVE_PART,,قدس,مفعل,,GENITIVE,ADJ,MASAQ:40372,Full,Certificate,20:12:8,
الْمُقَرَّبُونَ,المقربون,ISM_MUARAB,NOUN_PASSIVE_PART,,قرب,مفعل,,NOMINATIVE,ADJ,MASAQ:13322,Full,Certificate,4:172:10,
الْمُقَرَّبِينَ,المقربين,ISM_MUARAB,NOUN_PASSIVE_PART,,قرب,مفعل,,GENITIVE,PREP_OBJ,MASAQ:6961,Full,Certificate,3:45:20,
الْمُقَنْطَرَةِ,المقنطرة,ISM_MUARAB,NOUN_PASSIVE_PART,,,,,GENITIVE,ADJ,MASAQ:6381,Full,Certificate,3:14:9,
الْمُقْتَسِمِينَ,المقتسمين,ISM_MUARAB,NOUN_ACTIVE_PART,,قسم,مفتعل,,GENITIVE,PREP_OBJ,MASAQ:34289,Full,Certificate,15:90:4,
الْمُقْتِرِ,المقتر,ISM_MUARAB,NOUN_ACTIVE_PART,,قتر,مفعل,,GENITIVE,,MASAQ:4724,Full,Certificate,2:236:19,
الْمُقْسِطِينَ,المقسطين,ISM_MUARAB,NOUN_ACTIVE_PART,,قسط,مفعل,,ACCUSATIVE,OBJ,MASAQ:14525,Full,Certificate,5:42:26,
الْمُكَذِّبُونَ,المكذبون,ISM_MUARAB,NOUN_ACTIVE_PART,,كذب,مفعل,,NOMINATIVE,ADJ,MASAQ:69395,Full,Certificate,56:51:5,
الْمُكَذِّبِينَ,المكذبين,ISM_MUARAB,NOUN_ACTIVE_PART,,كذب,مفعل,,GENITIVE,GEN_CONS,MASAQ:8467,Full,Certificate,3:137:13,
الْمُكْرَمِينَ,المكرمين,ISM_MUARAB,NOUN_PASSIVE_PART,,كرم,مفعل,,GENITIVE,PREP_OBJ,MASAQ:57176,Full,Certificate,36:27:7,
الْمُلُوكَ,الملوك,ISM_MUARAB,ADJ_QUALIT,,ملو,فعل,,ACCUSATIVE,SUBJ_COP_PART,MASAQ:49074,Partial,Hypothesis,27:34:3,
الْمُلْقِينَ,الملقين,ISM_MUARAB,NOUN_ACTIVE_PART,,ملق,فعل,,ACCUSATIVE,V_COP_PRED,MASAQ:21121,Full,Certificate,7:115:10,
الْمُلْكَ,الملك,ISM_MUARAB,NOUN_ABSTRACT,,ملك,فعل,,ACCUSATIVE,OBJ,MASAQ:5092,Full,Certificate,2:251:9,
الْمُلْكُ,الملك,ISM_MUARAB,NOUN_ABSTRACT,,ملك,فعل,,NOMINATIVE,SUBJ_COP_V,MASAQ:4950,Full,Certificate,2:247:15,
الْمُلْكِ,الملك,ISM_MUARAB,NOUN_ABSTRACT,,ملك,فعل,,GENITIVE,GEN_CONS,MASAQ:6590,Full,Certificate,3:26:4,
الْمُمْتَرِينَ,الممترين,ISM_MUARAB,NOUN_ACTIVE_PART,,متر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:2686,Full,Certificate,2:147:7,
الْمُنَادِ,المناد,ISM_MUARAB,NOUN_ACTIVE_PART,,مند,فعال,,NOMINATIVE,AGNT,MASAQ:67454,Full,Certificate,50:41:4,
الْمُنَافِقُونَ,المنافقون,ISM_MUARAB,NOUN_ACTIVE_PART,,نفق,مفاعل,,NOMINATIVE,AGNT,MASAQ:23450,Full,Certificate,8:49:3,
الْمُنَافِقِينَ,المنافقين,ISM_MUARAB,NOUN_ACTIVE_PART,,نفق,مفاعل,,ACCUSATIVE,OBJ,MASAQ:11076,Full,Certificate,4:61:12,
الْمُنِيرِ,المنير,ISM_MUARAB,NOUN_ACTIVE_PART,,نير,مفعيل,,GENITIVE,ADJ,MASAQ:9377,Full,Certificate,3:184:12,
الْمُنْتَصِرِينَ,المنتصرين,ISM_MUARAB,NOUN_ACTIVE_PART,,نصر,مفتعل,,GENITIVE,PREP_OBJ,MASAQ:51153,Full,Certificate,28:81:17,
الْمُنْتَظِرِينَ,المنتظرين,ISM_MUARAB,NOUN_ACTIVE_PART,,نظر,مفتعل,,GENITIVE,PREP_OBJ,MASAQ:20488,Full,Certificate,7:71:25,
الْمُنْتَهَى,المنتهى,UNKNOWN,GERUND_MEEM,,,,,GENITIVE,GEN_CONS,MASAQ:68219,Full,Certificate,53:14:3,
الْمُنْذَرِينَ,المنذرين,ISM_MUARAB,NOUN_ACTIVE_PART,,نذر,مفعل,,GENITIVE,GEN_CONS,MASAQ:27715,Full,Certificate,10:73:17,
الْمُنْذِرِينَ,المنذرين,ISM_MUARAB,NOUN_ACTIVE_PART,,نذر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:48505,Full,Certificate,26:194:5,
الْمُنْزِلُونَ,المنزلون,ISM_MUARAB,NOUN_ACTIVE_PART,,نزل,مفعل,,NOMINATIVE,PRED,MASAQ:69478,Full,Certificate,56:69:7,
الْمُنْزِلِينَ,المنزلين,ISM_MUARAB,NOUN_ACTIVE_PART,,نزل,مفعل,,GENITIVE,GEN_CONS,MASAQ:31141,Full,Certificate,12:59:17,
الْمُنْشَآتُ,المنشآت,ISM_MUARAB,NOUN_CONCRETE,,,,,NOMINATIVE,ADJ,MASAQ:68954,Partial,Hypothesis,55:24:3,
الْمُنْشِئُونَ,المنشئون,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,NOMINATIVE,PRED,MASAQ:69494,Full,Certificate,56:72:6,
الْمُنْظَرِينَ,المنظرين,ISM_MUARAB,NOUN_PASSIVE_PART,,نظر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:19474,Full,Certificate,7:15:4,
الْمُنْكَرَ,المنكر,ISM_MUARAB,NOUN_PASSIVE_PART,,نكر,مفعل,,ACCUSATIVE,OBJ,MASAQ:43963,Full,Certificate,22:72:11,
الْمُنْكَرِ,المنكر,ISM_MUARAB,NOUN_PASSIVE_PART,,نكر,مفعل,,GENITIVE,PREP_OBJ,MASAQ:7960,Full,Certificate,3:104:11,
الْمُهَاجِرِينَ,المهاجرين,ISM_MUARAB,NOUN_ACTIVE_PART,,هجر,مفاعل,,GENITIVE,PREP_OBJ,MASAQ:25803,Full,Certificate,9:100:4,
الْمُهَيْمِنُ,المهيمن,JAMID,NOUN_PROP,,هيم,مفعيل,,NOMINATIVE,PRED,MASAQ:71070,Full,Certificate,59:23:12,
الْمُهِينِ,المهين,ISM_MUARAB,NOUN_ACTIVE_PART,,مهه,فعل,,GENITIVE,ADJ,MASAQ:55563,Partial,Hypothesis,34:14:27,
الْمُهْتَدُونَ,المهتدون,ISM_MUARAB,NOUN_PASSIVE_PART,,مهتد,فعلل,,NOMINATIVE,PRED,MASAQ:2831,Full,Certificate,2:157:9,
الْمُهْتَدِ,المهتد,ISM_MUARAB,NOUN_ACTIVE_PART,,مهتد,فعلل,,NOMINATIVE,PRED,MASAQ:37513,Full,Certificate,17:97:5,
الْمُهْتَدِي,المهتدي,ISM_MUARAB,NOUN_ACTIVE_PART,,مهتد,فعلل,,NOMINATIVE,PRED,MASAQ:22258,Partial,Hypothesis,7:178:5,
الْمُهْتَدِينَ,المهتدين,ISM_MUARAB,NOUN_ACTIVE_PART,,مهتد,فعلل,,GENITIVE,PREP_OBJ,MASAQ:17179,Full,Certificate,6:56:21,
الْمُهْلَكِينَ,المهلكين,ISM_MUARAB,NOUN_PASSIVE_PART,,مهل,فعل,,GENITIVE,PREP_OBJ,MASAQ:44544,Full,Certificate,23:48:4,
الْمُوسِعِ,الموسع,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,GENITIVE,PREP_OBJ,MASAQ:4721,Full,Certificate,2:236:16,
الْمُوقَدَةُ,الموقدة,ISM_MUARAB,NOUN_PASSIVE_PART,,,,,NOMINATIVE,ADJ,MASAQ:77585,Full,Certificate,104:6:3,
الْمُوقِنِينَ,الموقنين,ISM_MUARAB,NOUN_ACTIVE_PART,,موق,فعل,,GENITIVE,PREP_OBJ,MASAQ:17539,Full,Certificate,6:75:9,
الْمِحَالِ,المحال,ISM_MUARAB,NOUN_PASSIVE_PART,,محل,فعال,,GENITIVE,GEN_CONS,MASAQ:32243,Full,Certificate,13:13:19,
الْمِحْرَابَ,المحراب,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:6806,Full,Certificate,3:37:14,
الْمِحْرَابِ,المحراب,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,PREP_OBJ,MASAQ:6849,Full,Certificate,3:39:7,
الْمِسْكِينَ,المسكين,ISM_MUARAB,ADJ_INTENS,,مسك,فعل,,ACCUSATIVE,OBJ,MASAQ:74838,Partial,Hypothesis,74:44:4,
الْمِسْكِينِ,المسكين,ISM_MUARAB,ADJ_INTENS,,مسك,فعل,,GENITIVE,GEN_CONS,MASAQ:73630,Partial,Hypothesis,69:34:5,
الْمِصْبَاحُ,المصباح,ISM_MUARAB,NOUN_INSTRUMENT,,,,,NOMINATIVE,SUBJ,MASAQ:45779,Full,Certificate,24:35:10,
الْمِكْيَالَ,المكيال,ISM_MUARAB,NOUN_INSTRUMENT,,,,,ACCUSATIVE,OBJ,MASAQ:29637,Full,Certificate,11:84:16,
الْمِلَّةِ,الملة,ISM_MUARAB,NOUN_CONCRETE,,ملل,فعل,,GENITIVE,PREP_OBJ,MASAQ:58612,Full,Certificate,38:7:5,
الْمِهَادُ,المهاد,ISM_MUARAB,NOUN_CONCRETE,,مهد,فعال,,NOMINATIVE,AGNT,MASAQ:3898,Full,Certificate,2:206:12,
الْمِيثَاقَ,الميثاق,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:32417,Full,Certificate,13:20:7,
الْمِيزَانَ,الميزان,ISM_MUARAB,NOUN_ABSTRACT,,ميز,فعل,,ACCUSATIVE,OBJ,MASAQ:68883,Full,Certificate,55:7:4,
الْمِيزَانِ,الميزان,ISM_MUARAB,NOUN_ABSTRACT,,ميز,فعل,,GENITIVE,PREP_OBJ,MASAQ:68887,Full,Certificate,55:8:4,
الْمِيعَادَ,الميعاد,UNKNOWN,NOUN_TIME_PLACE,,,,,ACCUSATIVE,OBJ,MASAQ:6304,Full,Certificate,3:9:13,
الْمِيعَادِ,الميعاد,UNKNOWN,NOUN_TIME_PLACE,,,,,GENITIVE,PREP_OBJ,MASAQ:23309,Full,Certificate,8:42:15,
الْهَالِكِينَ,الهالكين,ISM_MUARAB,NOUN_ACTIVE_PART,,هلك,فاعل,,GENITIVE,PREP_OBJ,MASAQ:31585,Full,Certificate,12:85:12,
الْهَدْيَ,الهدي,ISM_MUARAB,NOUN_CONCRETE,,هدي,فعل,,ACCUSATIVE,CONJ_N,MASAQ:13470,Full,Certificate,5:2:12,
الْهَدْيُ,الهدي,ISM_MUARAB,NOUN_CONCRETE,,هدي,فعل,,NOMINATIVE,AGNT,MASAQ:3659,Full,Certificate,2:196:16,
الْهَدْيِ,الهدي,ISM_MUARAB,NOUN_CONCRETE,,هدي,فعل,,GENITIVE,PREP_OBJ,MASAQ:3653,Full,Certificate,2:196:10,
الْهَوَى,الهوى,ISM_MUARAB,GERUND,,,,,ACCUSATIVE,OBJ,MASAQ:12621,Full,Certificate,4:135:25,
الْهُدَى,الهدى,ISM_MUARAB,GERUND,,هدي,فعل,,NOMINATIVE,PART_COP_PRED,MASAQ:2134,Full,Certificate,2:120:15,
الْهُدْهُدَ,الهدهد,ISM_MUARAB,NOUN_CONCRETE,,هدهد,فعلل,,ACCUSATIVE,OBJ,MASAQ:48929,Full,Certificate,27:20:8,
الْهُونِ,الهون,ISM_MUARAB,NOUN_ABSTRACT,,هون,فعل,,GENITIVE,GEN_CONS,MASAQ:17872,Full,Certificate,6:93:38,
الْهِيمِ,الهيم,ISM_MUARAB,NOUN_CONCRETE,,هيم,فعل,,GENITIVE,GEN_CONS,MASAQ:69410,Full,Certificate,56:55:3,
الْوَاحِدُ,الواحد,ISM_MUARAB,NOUN_NUM,,,,,NOMINATIVE,ADJ,MASAQ:30814,Full,Certificate,12:39:8,
الْوَاحِدِ,الواحد,ISM_MUARAB,NOUN_NUM,,,,,GENITIVE,ADJ,MASAQ:33641,Full,Certificate,14:48:9,
الْوَادِ,الواد,ISM_MUARAB,NOUN_CONCRETE,,,,,GENITIVE,GEN_CONS,MASAQ:50327,Full,Certificate,28:30:6,
الْوَارِثُونَ,الوارثون,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,NOMINATIVE,PRED,MASAQ:33856,Full,Certificate,15:23:6,
الْوَارِثِ,الوارث,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,GENITIVE,PREP_OBJ,MASAQ:4600,Full,Certificate,2:233:31,
الْوَارِثِينَ,الوارثين,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,GENITIVE,GEN_CONS,MASAQ:42579,Full,Certificate,21:89:11,
الْوَاعِظِينَ,الواعظين,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,GENITIVE,PREP_OBJ,MASAQ:48167,Full,Certificate,26:136:9,
الْوَاقِعَةُ,الواقعة,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,NOMINATIVE,AGNT,MASAQ:69221,Full,Certificate,56:1:3,
الْوَالِدَانِ,الوالدان,ISM_MUARAB,NOUN_ACTIVE_PART,,دون,فعل,,NOMINATIVE,AGNT,MASAQ:9815,Partial,Hypothesis,4:7:5,
الْوَالِدَيْنِ,الوالدين,ISM_MUARAB,NOUN_ACTIVE_PART,,,,,GENITIVE,CONJ_N,MASAQ:12609,Full,Certificate,4:135:13,
الْوَتِينَ,الوتين,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:73684,Partial,Hypothesis,69:46:4,
الْوَثَاقَ,الوثاق,ISM_MUARAB,NOUN_CONCRETE,,ثوق,فعل,,ACCUSATIVE,OBJ,MASAQ:65719,Full,Certificate,47:4:11,
الْوَدُودُ,الودود,ISM_MUARAB,ADJ_QUALIT,,دود,فعل,,NOMINATIVE,PRED,MASAQ:76512,Full,Certificate,85:14:3,
الْوَدْقَ,الودق,ISM_MUARAB,NOUN_CONCRETE,,ودق,فعل,,ACCUSATIVE,OBJ,MASAQ:45961,Full,Certificate,24:43:14,
الْوَرِيدِ,الوريد,ISM_MUARAB,NOUN_CONCRETE,,ريد,فعل,,GENITIVE,GEN_CONS,MASAQ:67253,Full,Certificate,50:16:14,
الْوَزْنَ,الوزن,ISM_MUARAB,GERUND,,وزن,فعل,,ACCUSATIVE,OBJ,MASAQ:68889,Full,Certificate,55:9:2,
الْوَسِيلَةَ,الوسيلة,ISM_MUARAB,NOUN_ABSTRACT,,سيل,فعل,,ACCUSATIVE,OBJ,MASAQ:14344,Full,Certificate,5:35:8,
الْوَسْوَاسِ,الوسواس,JAMID,NOUN_PROP,,,,,GENITIVE,GEN_CONS,MASAQ:77788,Full,Certificate,114:4:3,
الْوَصِيَّةُ,الوصية,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,PASS_SUBJ,MASAQ:3296,Full,Certificate,2:180:10,
