word,engine_root,audited_root,audited_bab_sarfi,is_audited_and_correct,status,issue_type,fix_hint
كَفَأَ,كفأ,كفء,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَخَعَ,نخع,نخع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَجَمَ,نجم,نجم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَثُفَ,كثف,كثف,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
قَمَدَ,قمد,قمد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَافَ,قاف,قوف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَرَمَ,فرم,فرم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَزَعَ,قزع,قزع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَجَفَ,نجف,نجف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَلَفَ,غلف,غلف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَلَى,غلى,غلي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَرِقَ,قرق,قرق,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَطَى,غطى,غطي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَمُقَ,غمق,غمق,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
قَذِرَ,قذر,قذر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَصَلَ,قصل,قصل,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَرِثَ,فرث,فرث,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَاظَ,فاظ,فوظ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَرَكَ,فرك,فرك,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَطَبَ,قطب,قطب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَارَ,فار,فور,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَصَعَ,فصع,فصع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَضَّ,,قضض,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَاقَ,فاق,فوق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَخَجَ,نخج,نخج,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَاصَ,قاص,قيص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَحَّ,,فحح,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَثَا,قثا,قثو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَرُمَ,كرم,كرم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
فَلَكَ,فلك,فلك,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَقِمَ,فقم,فقم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَجَثَ,نجث,نجث,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَذَّ,,قذذ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
كَمِئَ,كمئ,كمء,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَلَى,قلى,قلي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَدَصَ,ندص,ندص,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَاغَ,فاغ,فوغ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَجَّ,,فجج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَحِمَ,فحم,فحم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَغَا,فغا,فغو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَتَنَ,نتن,نتن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَفَّ,,كفف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَطَمَ,فطم,فطم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
غَطِشَ,غطش,غطش,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَاسَ,كاس,كوس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَنِثَ,غنث,غنث,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَاتَ,قات,قوت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَتَكَ,نتك,نتك,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَتَحَ,كتح,كتح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
خَرِجَ,خرج,خرج,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَثَعَ,كثع,كثع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَنَدَ,كند,كند,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَنَّ,,كنن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
كَمَشَ,كمش,كمش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَعَشَ,قعش,قعش,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَحَبَ,,كحب,فَعَلَ يَفْعَلُ ( فتحتان ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
كَنَشَ,كنش,كنش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَسَطَ,قسط,قسط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَهَنَ,كهن,كهن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَجَا,فجا,فجو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَحَثَ,كحث,كحث,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَثَرَ,نثر,نثر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَدَنَ,كدن,كدن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَرِسَ,فرس,فرس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَطَفَ,قطف,قطف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَرَعَ,كرع,كرع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَأَرَ,فأر,فءر,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَرِقَ,غرق,غرق,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَلِسَ,كلس,كلس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَنَا,قنا,قنو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَافَ,فاف,فوف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَشَرَ,قشر,قشر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَانَ,غان,غين,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَادَ,,كود,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
خَزَقَ,خزق,خزق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَلَطَ,فلط,فلط,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَضَغَ,فضغ,فضغ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَرِظَ,قرظ,قرظ,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَثَغَ,فثغ,فثغ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَضَحَ,فضح,فضح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
خَتَمَ,ختم,ختم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَرَّ,,فرر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَقِهَ,فقه,فقه,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَدَّ,,قدد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
كَلِفَ,كلف,كلف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَخَمَ,نخم,نخم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَمَا,غما,غمو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَسَرَ,كسر,كسر,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَدُمَ,قدم,قدم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
فَرَشَ,فرش,فرش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَرِتَ,قرت,قرت,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَهِبَ,غهب,غهب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَعَرَ,قعر,قعر,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَاضَ,فاض,فيض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَطَعَ,قطع,قطع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَنَتَ,قنت,قنت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَمِصَ,غمص,غمص,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَبِرَ,كبر,كبر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
زَرَقَ,زرق,زرق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
خَجَأَ,خجأ,خجء,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَفَصَ,قفص,قفص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَعَبَ,كعب,كعب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَسَفَ,كسف,كسف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَلَبَ,قلب,قلب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَخُمَ,فخم,فخم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
خَرِدَ,خرد,خرد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَطِعَ,قطع,قطع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَدُرَ,ندر,ندر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَمَّ,,كمم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَشَا,قشا,قشو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَعِرَ,كعر,كعر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَحَصَ,فحص,فحص,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَدَحَ,قدح,قدح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَطُفَ,قطف,قطف,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
خَذَا,خذا,خذو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَوِيَ,غوي,غوو,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَبِثَ,كبث,كبث,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَرُهَ,فره,فره,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
فَدَرَ,فدر,فدر,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَسَا,كسا,كسو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَصَى,كصى,كصي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَسَبَ,كسب,كسب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَفَلَ,كفل,كفل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَلِيَ,فلي,فلي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَعَصَ,قعص,قعص,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَنِعَ,قنع,قنع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَخَرَ,نخر,نخر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَبُحَ,قبح,قبح,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَنِبَ,كنب,كنب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَحَرَ,نحر,نحر,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَمَزَ,غمز,غمز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَوِسَ,قوس,قوس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَخَّ,,كخخ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
كَفَى,كفى,كفي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَمِرَ,كمر,كمر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَرِجَ,كرج,كرج,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَتَّ,,كتت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَضُفَ,قضف,قضف,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
خَرَبَ,خرب,خرب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَحَثَ,فحث,فحث,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَسِيَ,غسي,غسو,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَزَعَ,فزع,فزع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَعَزَ,كعز,كعز,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَاصَ,غاص,غوص,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَهِدَ,فهد,فهد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَرَّ,,قرر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَذَفَ,قذف,قذف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَرِطَ,قرط,قرط,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَدَفَ,قدف,قدف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَسَّ,,قسس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَتَرَ,فتر,فتر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَتِدَ,قتد,قتد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَسِلَ,كسل,كسل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَتِلَ,كتل,كتل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَمُؤَ,قمؤ,قمء,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَتَهَ,كته,كته,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَصَّ,,كصص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
غَمِجَ,غمج,غمج,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَجِعَ,نجع,نجع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَارَ,قار,قور,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَقَصَ,فقص,فقص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَمَدَ,كمد,كمد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَدِلَ,ندل,ندل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَآ,فءا,فءو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَتَفَ,نتف,نتف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَتَفَ,كتف,كتف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
غَزَّ,,غزز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَتِخَ,فتخ,فتخ,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَدَسَ,ندس,ندس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَغِيَ,فغي,فغي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَعَّ,,كعع,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَزَحَ,قزح,قزح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَلِعَ,قلع,قلع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَشِيَ,غشي,غشو,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَشَا,فشا,فشو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَهَّ,,قهه,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
نَخَسَ,نخس,نخس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَتَحَ,فتح,فتح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَتَأَ,فتأ,فتء,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَبَتَ,كبت,كبت,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَشِئَ,كشئ,كشء,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَنَبَ,قنب,قنب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَحَضَ,فحض,فحض,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
خَدَشَ,خدش,خدش,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَعَا,قعا,قعو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَجَسَ,فجس,فجس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَوِمَ,كوم,كوم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَازَ,فاز,فوز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَسَحَ,قسح,قسح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَدَغَ,ندغ,ندغ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَبَعَ,قبع,قبع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَخَمَ,كخم,كخم,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَهَا,فها,فهو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَرُتَ,فرت,فرت,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
نَحِفَ,نحف,نحف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَرِشَ,كرش,كرش,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَلَذَ,فلذ,فلذ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَطَنَ,قطن,قطن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَئِقَ,فئق,فءق,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَشَمَ,غشم,غشم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَنَضَ,غنض,غنض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
نَتَا,نتا,نتو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَنَظَ,غنظ,غنظ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَلِفَ,قلف,قلف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَفَلَ,قفل,قفل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَصَنَ,غصن,غصن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَعَفَ,قعف,قعف,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَصَدَ,قصد,قصد,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَهَدَ,قهد,قهد,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَرِيَ,فري,فري,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَالَ,قال,قول,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَرُضَ,غرض,غرض,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
قَرِسَ,قرس,قرس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَنَحَ,فنح,فنح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَسَجَ,فسج,فسج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَلَا,غلا,غلو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَزُرَ,غزر,غزر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
فَضَعَ,فضع,فضع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَثَطَ,نثط,نثط,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
خَدَمَ,خدم,خدم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَمِعَ,قمع,قمع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَدَى,كدى,كدي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَرَسَ,فرس,فرس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَأَمَ,فأم,فءم,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَتُنَ,نتن,نتن,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
غَضِفَ,غضف,غضف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَفَسَ,قفس,قفس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
